#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-2478269.04472656,-1977833.2285077202,298.7735184454124,0
1000,2.0000000000000013,-2484793.696803272,-1982849.836390274,299.6738610173412,14.5
1500,2.999999999999891,-2488312.515606677,-1985832.3568501668,299.99404542028503,14.3
2000,3.999999999999781,-2494720.00790412,-1991823.8872197464,300.24238577622924,14.3
2500,4.999999999999671,-2496303.5988354795,-1993961.6283734294,299.911543325899,14.4
3000,5.999999999999561,-2496314.1053304058,-1994023.6623503324,299.880780045998,14.4
3500,6.999999999999451,-2501775.205745816,-2001042.7374591078,298.9506276354399,14.4
4000,7.999999999999341,-2502258.0659752097,-1997808.3215177837,301.1699405714127,14.4
4500,8.999999999999675,-2503086.0918523837,-2002943.7432009645,298.59831048701665,14.4
5000,10.000000000000009,-2503064.192109024,-2002836.8215405552,298.6490708372526,14.4
5500,11.000000000000343,-2503559.263149472,-1999856.6402447033,300.7238890943613,14.4
6000,12.000000000000677,-2503114.803029824,-2002716.1807952665,298.7513126456099,14.2
6500,13.00000000000101,-2504721.1588757467,-2002501.8170441708,299.83833076556357,14.1
7000,14.000000000001345,-2508247.9349077456,-2005699.1022511963,300.03504556870564,14
7500,15.000000000001679,-2502254.7734547406,-2000521.6723868654,299.5480320717569,14
8000,16.00000000000201,-2506587.620163638,-2001085.278431503,301.7983691951811,14
8500,17.000000000001457,-2508119.842602344,-2006318.615930763,299.5887048726551,14
9000,18.000000000000902,-2510221.65631284,-2008156.271812568,299.7464141359512,14
9500,19.000000000000348,-2506829.2948317807,-2004658.7456910117,299.80920022887074,14
10000,19.999999999999794,-2507370.9607013483,-2003705.951296274,300.7014328326779,13.9
10500,20.99999999999924,-2504924.8389913123,-2003539.5995606557,299.3403494041387,13.9
11000,21.999999999998685,-2507409.2299351897,-2006821.0040134937,298.8645110995987,13.9
11500,22.99999999999813,-2510397.56793366,-2009642.4619617723,298.96414293676577,13.9
12000,23.999999999997577,-2509691.9245093763,-2007218.703122877,299.9899036255138,13.9
12500,24.999999999997023,-2512244.765086632,-2009987.1703201665,299.86116878709896,13.9
13000,25.99999999999647,-2509450.3851689175,-2006901.1763403781,300.0352701534084,13.8
13500,26.999999999995914,-2511308.416796023,-2008613.2380295768,300.122418096306,13.8
14000,27.99999999999536,-2512387.7935885265,-2010279.890169324,299.7717990636436,13.8
14500,28.999999999994806,-2511922.724828474,-2008132.565620966,300.7761505998603,13.8
15000,29.99999999999425,-2510209.091799222,-2008813.056200328,299.34679500428444,13.8
15500,30.999999999993697,-2512053.3897651155,-2009132.4062472282,300.2572295504091,13.8
16000,31.999999999993143,-2513723.0234771594,-2012581.500671757,299.1948440840339,13.8
16500,32.999999999994365,-2511811.482096171,-2008572.232728513,300.44724274421986,13.8
17000,33.99999999999559,-2511250.833689291,-2006175.3993752524,301.54349408988037,13.8
17500,34.99999999999681,-2511824.197998246,-2008713.6813256282,300.3703858946707,13.8
18000,35.99999999999803,-2515966.328859467,-2012386.1409222658,300.6507921559422,13.8
18500,36.999999999999254,-2510280.897606738,-2006906.343991087,300.52802298600756,13.8
19000,38.000000000000476,-2512748.5597666707,-2011567.1574716761,299.21865320207274,13.7
19500,39.0000000000017,-2512326.4552393295,-2009749.0785731277,300.05208710314025,13.7
20000,40.00000000000292,-2510909.9504540022,-2007707.7721856171,300.4251103100425,13.7
20500,41.00000000000414,-2511137.6910311487,-2008050.5429833024,300.3564342029293,13.7
21000,42.000000000005365,-2509383.6814534124,-2005458.652190533,300.8566716170822,13.7
21500,43.00000000000659,-2511077.7418115903,-2009050.053183187,299.72390869588463,13.7
22000,44.00000000000781,-2514586.304780595,-2012302.7883616316,299.87664470442877,13.7
22500,45.00000000000903,-2511177.3646288924,-2008143.0153611882,300.32491192414466,13.7
23000,46.00000000001025,-2512886.9790919255,-2010081.171538305,300.18846643040627,13.7
23500,47.000000000011475,-2514390.000771258,-2011594.4313053368,300.18235401921396,13.7
24000,48.0000000000127,-2513544.304737527,-2011613.202049315,299.66624431566225,13.7
24500,49.00000000001392,-2514372.364771154,-2011968.25950649,299.9486394588956,13.7
25000,50.00000000001514,-2513148.0284537673,-2009524.5998766655,300.6766079702868,13.7
25500,51.000000000016364,-2511925.373383239,-2008855.3682319426,300.34619943684623,13.7
26000,52.000000000017586,-2513981.959741641,-2010198.8953225804,300.77191482208724,13.7
26500,53.00000000001881,-2516629.893030295,-2014528.7187668665,299.76778157832064,13.7
27000,54.00000000002003,-2514614.178054843,-2011409.2350042823,300.42676095868035,13.7
27500,55.00000000002125,-2514542.8018605486,-2011489.1903345094,300.3364120056924,13.7
28000,56.000000000022474,-2515020.660689097,-2013408.7211759202,299.47569539475575,13.7
28500,57.0000000000237,-2514866.23122905,-2013524.6920544505,299.3142591867004,13.7
29000,58.00000000002492,-2511546.348350946,-2008684.309876393,300.22203778870613,13.7
29500,59.00000000002614,-2514928.3031905685,-2013688.3533138274,299.2536076686157,13.7
30000,60.00000000002736,-2516512.259792922,-2014225.3339773891,299.8786802050381,13.7
30500,61.000000000028585,-2510698.3965433203,-2008576.9966809563,299.77985679987904,13.7
31000,62.00000000002981,-2513204.568572413,-2010033.4192672654,300.40658519209603,13.7
31500,63.00000000003103,-2511900.5673729423,-2009295.4635827695,300.06864093505385,13.7
32000,64.00000000003224,-2511051.542962035,-2007944.4888969169,300.3683186257181,13.7
32500,65.00000000002991,-2511568.214548558,-2007421.4600846828,300.989047470853,13.7
33000,66.00000000002758,-2515010.571096055,-2012902.8556455742,299.7716868413077,13.7
33500,67.00000000002525,-2513936.6961869393,-2012288.4541080915,299.49736899389194,13.7
34000,68.00000000002292,-2513993.1762732565,-2011262.817632717,300.1434214186515,13.7
34500,69.00000000002059,-2516124.5719175395,-2012340.3669923646,300.7725957346309,13.7
35000,70.00000000001826,-2516768.968973547,-2014526.163531842,299.8523391660949,13.7
35500,71.00000000001593,-2514025.310907116,-2011823.9516120274,299.8275947120624,13.7
36000,72.0000000000136,-2515388.478501318,-2014155.5568386768,299.2494116375025,13.7
36500,73.00000000001127,-2515074.9128559884,-2014670.530482647,298.7547516019663,13.7
37000,74.00000000000894,-2516442.9051401317,-2015306.2606341701,299.19193160926545,13.7
37500,75.00000000000661,-2515597.4622585233,-2013239.7993524144,299.9209121331916,13.7
38000,76.00000000000428,-2516723.112854153,-2015435.9372924338,299.2818026610695,13.7
38500,77.00000000000195,-2515732.260460425,-2011408.3633973878,301.09480632324323,13.7
39000,77.99999999999962,-2514063.7258934733,-2012152.3594430315,299.65446125576057,13.7
39500,78.99999999999729,-2514171.5944534577,-2010814.7910055504,300.5174256628387,13.7
40000,79.99999999999496,-2515549.6209587753,-2011953.7799607012,300.6601374504231,13.7
40500,80.99999999999262,-2517192.889705265,-2014054.4528407918,300.38705499325624,13.7
41000,81.9999999999903,-2517772.7274881173,-2015813.0882132868,299.6832814183479,13.7
41500,82.99999999998796,-2514144.3762585036,-2012059.198783075,299.7582310695846,13.7
42000,83.99999999998563,-2515058.049489621,-2011076.3954677375,300.8904781072064,13.7
42500,84.9999999999833,-2517049.3319596574,-2013628.4163944284,300.5557023054099,13.7
43000,85.99999999998097,-2516858.8254186288,-2014452.8662566708,299.9497462849851,13.7
43500,86.99999999997864,-2517436.709006101,-2015688.881074584,299.5568244018085,13.7
44000,87.99999999997631,-2516598.4144377373,-2015505.722248338,299.16569090498825,13.7
44500,88.99999999997398,-2517083.031419335,-2016719.733919688,298.730222837496,13.7
45000,89.99999999997165,-2518032.030224405,-2013171.8941335683,301.41495531312563,13.7
45500,90.99999999996932,-2515539.9585117307,-2013654.841255779,299.6387897871327,13.7
46000,91.99999999996699,-2517137.106694132,-2012894.7591328952,301.0461190974478,13.7
46500,92.99999999996466,-2515405.898372857,-2012397.2046385424,300.30959488701416,13.7
47000,93.99999999996233,-2517172.871738976,-2015218.685883769,299.68002558150374,13.7
47500,94.99999999996,-2511634.572804654,-2011509.5677391791,298.587955904017,13.7
48000,95.99999999995767,-2516222.163949879,-2012660.6438937457,300.6396469334624,13.7
48500,96.99999999995534,-2517229.1483814046,-2015840.4934130246,299.34238857118055,13.7
49000,97.999999999953,-2515177.66193725,-2013333.7253894787,299.6142038069201,13.7
49500,98.99999999995067,-2512939.6005059555,-2010049.704257613,300.23866962204306,13.7
50000,99.99999999994834,-2514475.049373364,-2013841.9575969987,298.8912972104709,13.8
50500,100.99999999994601,-2515320.7151684016,-2011288.7264979044,300.9205292338015,13.7
