#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-122453.4375,-68008.61360150075,300.0664190722871,0
1000,2.0000000000000013,-123387.8203125,-69426.11886166356,297.40374496549083,77.7
1500,2.999999999999891,-123269.7421875,-68770.18391605606,300.36808130780645,79.8
2000,3.999999999999781,-123747.765625,-69563.74432372814,298.6290353904027,80.5
2500,4.999999999999671,-124204.65625,-69894.71616222872,299.32302237857346,79.9
3000,5.999999999999561,-123383.40625,-68746.91039651952,301.12279712716014,80.4
3500,6.999999999999451,-124723.3125,-70164.30003121577,300.69575631559013,80.8
4000,7.999999999999341,-123727.265625,-69050.33390971622,301.34565475410443,80.6
4500,8.999999999999675,-123618.390625,-69136.19356107322,300.27239699849264,80.8
5000,10.000000000000009,-124311.5703125,-70162.17220172181,298.43821363648055,81
5500,11.000000000000343,-124302.65625,-70145.84415868646,298.4790749421294,79.6
6000,12.000000000000677,-124363.40625,-69427.57134641783,302.7725700609467,79.9
6500,13.00000000000101,-124223.2265625,-69837.13548705773,299.7427198363493,79.8
7000,14.000000000001345,-124736.5625,-69858.31283354969,302.45519561356485,80
7500,15.000000000001679,-124148.484375,-69726.29413380288,299.9416762590893,80.2
8000,16.00000000000201,-123728.6640625,-69116.30704129324,300.98975871428064,80.1
8500,17.000000000001457,-124078.5390625,-69447.02828570124,301.09532244726273,80.3
9000,18.000000000000902,-123905.078125,-69443.65114521072,300.15792505562086,80.4
9500,19.000000000000348,-123828.34375,-69469.46865685587,299.5927220630998,80.3
10000,19.999999999999794,-124173.125,-69551.90485283383,301.03860681916905,80.5
10500,20.99999999999924,-124631.34375,-70250.64155641978,299.713019630391,80.4
11000,21.999999999998685,-124029.671875,-69682.09056924598,299.53047764577497,80.5
11500,22.99999999999813,-124370.453125,-69513.37216180807,302.33852672700567,80.6
12000,23.999999999997577,-124087.8828125,-69576.13316385774,300.4352726886856,80.5
12500,24.999999999997023,-123908.9140625,-69391.84880714345,300.4645690470488,80.6
13000,25.99999999999647,-123867.03125,-69448.10855441145,299.92366755523625,80.7
13500,26.999999999995914,-124690.640625,-70012.01573556592,301.35498648975476,80.6
14000,27.99999999999536,-123995.53125,-69181.91235431237,302.09899051350254,80.5
14500,28.999999999994806,-124565.828125,-69777.51838644268,301.9595019890472,80.6
15000,29.99999999999425,-123948.21875,-69172.32543523423,301.89107028961223,80.5
15500,30.999999999993697,-124938.5,-70776.8972083244,298.5054783391754,80.6
16000,31.999999999993143,-124283.828125,-70259.63403799431,297.7481659813188,80.5
16500,32.999999999994365,-124448.6640625,-69437.33600642579,303.1886419353823,80.5
17000,33.99999999999559,-125045.9921875,-70145.67903114593,302.57679601436695,80.6
17500,34.99999999999681,-124603.921875,-70659.13991850632,297.3104951078109,80.5
18000,35.99999999999803,-124869.984375,-70463.03041109332,299.857703259653,80.6
18500,36.999999999999254,-124296.0390625,-68836.30739745009,305.6599671341793,80.6
19000,38.000000000000476,-124680.984375,-70618.56126233866,297.95886088327126,80.5
19500,39.0000000000017,-124296.28125,-70472.62332136784,296.64293388340917,80.6
20000,40.00000000000292,-124110.03125,-70273.96755713038,296.71130683393113,80.5
20500,41.00000000000414,-124062.96875,-69418.94834066043,301.16426785605734,80.4
21000,42.000000000005365,-124739.8515625,-69778.76204445481,302.9117579797302,80.4
21500,43.00000000000659,-124373.0234375,-69968.3619889858,299.84506832330413,80.3
22000,44.00000000000781,-124340.7421875,-69686.88982310717,301.2184555516739,80.3
22500,45.00000000000903,-124752.1484375,-69837.05613772571,302.65824957276817,80.2
23000,46.00000000001025,-124423.5078125,-70426.13618460065,297.60033706612643,80
23500,47.000000000011475,-125023.2109375,-70377.14928533859,301.17551793237584,79.8
24000,48.0000000000127,-124274.28125,-69233.02648735803,303.353579555369,79.6
24500,49.00000000001392,-124384.515625,-69716.13963063178,301.2985008769517,79.3
25000,50.00000000001514,-124021.328125,-69779.09678845294,298.949853341282,79.1
25500,51.000000000016364,-125334.5,-70460.41046441928,302.43226752814684,78.9
26000,52.000000000017586,-124900.234375,-69960.71362363547,302.79288418938165,78.8
26500,53.00000000001881,-125059.265625,-70903.43726233626,298.47365323420297,78.7
27000,54.00000000002003,-125173.34375,-71094.13004909811,298.05140028971425,78.5
27500,55.00000000002125,-124647.421875,-69853.19938411354,301.9920894471603,78.4
28000,56.000000000022474,-125251.6875,-70680.44357047221,300.7631686123437,78.3
28500,57.0000000000237,-125791.421875,-71869.0540569158,297.1869621478795,78.2
29000,58.00000000002492,-125234.46875,-70842.24305134459,299.77653011046016,78.1
29500,59.00000000002614,-124677.8125,-69687.040601857,303.07534902232584,78
30000,60.00000000002736,-124698.8046875,-70658.8800957778,297.83486285868,77.8
30500,61.000000000028585,-124758.859375,-70100.66717158258,301.2423740780316,77.8
31000,62.00000000002981,-124897.1484375,-70473.00826578029,299.95242307811554,77.7
31500,63.00000000003103,-124710.3359375,-71081.40736019216,295.56970533832117,77.7
32000,64.00000000003224,-124959.03125,-70467.1280601034,300.32589120150925,77.6
32500,65.00000000002991,-125562.046875,-71148.93450627703,299.89164460334933,77.5
33000,66.00000000002758,-125160.78125,-70978.53818134475,298.61923486474507,77.5
