#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-1900942.7674351335,-1505910.9910409998,300.66285555327204,0
1000,2.0000000000000013,-1913140.584155796,-1518133.7503528036,300.6438714838235,17.5
1500,2.999999999999891,-1913630.570297528,-1517727.7780345352,301.3257949267925,17.8
2000,3.999999999999781,-1913347.9674818404,-1518632.0288569452,300.42246809265407,17.7
2500,4.999999999999671,-1919151.9667091873,-1526887.234268307,298.55682918744236,17.8
3000,5.999999999999561,-1922024.2977182101,-1528785.4703520893,299.29822311902973,17.4
3500,6.999999999999451,-1923958.5448864494,-1531634.94493933,298.60163386793334,17.5
4000,7.999999999999341,-1923150.9203019403,-1528249.2522779284,300.563828699156,17.5
4500,8.999999999999675,-1924827.3885556404,-1532468.1685256164,298.6287446890903,17.5
5000,10.000000000000009,-1926875.0107884593,-1531345.790304015,301.0414655021631,17.5
5500,11.000000000000343,-1928521.4237413183,-1535549.2685277103,299.09525612836654,17.6
6000,12.000000000000677,-1928787.230431253,-1533835.4669565423,300.60195687556444,17.6
6500,13.00000000000101,-1929247.9538827073,-1534743.774871167,300.2612956152818,17.7
7000,14.000000000001345,-1929282.8424603194,-1534805.2866355856,300.24103242672965,17.6
7500,15.000000000001679,-1928231.2199370787,-1533927.4519594759,300.10876066151684,17.7
8000,16.00000000000201,-1930360.5877163522,-1537235.5782858909,299.2115950865687,17.7
8500,17.000000000001457,-1929367.3817406166,-1536354.2242639796,299.12646338363845,17.7
9000,18.000000000000902,-1930891.200535331,-1536371.6079887655,300.27302701951766,17.7
9500,19.000000000000348,-1931496.7917057779,-1537013.1064055064,300.2456976352733,17.7
10000,19.999999999999794,-1931806.2477649022,-1538087.3313337257,299.66362397497375,17.7
10500,20.99999999999924,-1932662.1283746306,-1538747.9148045068,299.812266689272,17.7
11000,21.999999999998685,-1932528.1760806628,-1538997.4934997421,299.5203572042691,17.6
11500,22.99999999999813,-1933692.2555137668,-1539202.9247165988,300.24999448256347,17.6
12000,23.999999999997577,-1931921.79357294,-1537569.7742573293,300.14548526428695,17.6
12500,24.999999999997023,-1933908.2403414939,-1540300.9663388594,299.57865174394783,17.6
13000,25.99999999999647,-1933450.3954864629,-1539053.1479995102,300.1799089029909,17.6
13500,26.999999999995914,-1932945.4508345556,-1539733.5342607354,299.2777410308996,17.6
14000,27.99999999999536,-1931612.9283159487,-1538114.278640322,299.49597662186324,17.5
14500,28.999999999994806,-1932636.1299675442,-1537507.9830391249,300.7362041843468,17.5
15000,29.99999999999425,-1933392.362685673,-1538272.209928887,300.7301197359182,17.5
15500,30.999999999993697,-1932182.362685673,-1536397.5302834096,301.2360144314326,17.5
16000,31.999999999993143,-1931357.6192453504,-1538128.3964340778,299.29091299093477,17.5
16500,32.999999999994365,-1932987.5227613878,-1538147.504338229,300.5169065370821,17.5
17000,33.99999999999559,-1933572.966763148,-1537739.7056688117,301.27287402025416,17.5
17500,34.99999999999681,-1933421.0544018075,-1537910.0851725007,301.0275742791906,17.5
18000,35.99999999999803,-1933383.3370266613,-1540735.419637117,298.8484752973375,17.5
18500,36.999999999999254,-1933210.8996609282,-1539726.9679014336,299.4847746605109,17.5
19000,38.000000000000476,-1933710.5719992705,-1541960.6101867484,298.16503182751876,17.5
19500,39.0000000000017,-1935718.0908552855,-1541366.8651961978,300.1448812039284,17.5
20000,40.00000000000292,-1935314.2052772325,-1540858.3823267492,300.2244913066934,17.5
20500,41.00000000000414,-1938237.0307875108,-1543390.211936723,300.5220824143461,17.5
21000,42.000000000005365,-1935622.4866376538,-1542721.7977605034,299.0408623451842,17.5
21500,43.00000000000659,-1934762.2454226036,-1540765.073782824,299.8754069519152,17.5
22000,44.00000000000781,-1932557.6875075717,-1538913.554421951,299.6067055811475,17.5
22500,45.00000000000903,-1936024.5275588725,-1543064.458415667,299.08605729258477,17.5
23000,46.00000000001025,-1938166.905517619,-1545490.8145134277,298.86991853288794,17.5
23500,47.000000000011475,-1937328.4478999246,-1543896.7578577115,299.44501293794707,17.5
24000,48.0000000000127,-1938985.1930076927,-1544693.9019152774,300.0992643724761,17.5
24500,49.00000000001392,-1938498.7557433564,-1545587.3344862813,299.0490308728519,17.5
25000,50.00000000001514,-1934825.5573717915,-1540130.7258835586,300.4064032281021,17.5
25500,51.000000000016364,-1935438.1257704962,-1543303.8737800266,298.45751913909015,17.5
26000,52.000000000017586,-1935902.3847881798,-1541720.2617675834,300.01617540047505,17.5
26500,53.00000000001881,-1938029.107913565,-1544432.9098662897,299.5702217173898,17.5
27000,54.00000000002003,-1938723.7072617915,-1545392.3499915567,299.3686486059334,17.5
27500,55.00000000002125,-1938258.5029222444,-1544167.932195023,299.9464939834261,17.5
28000,56.000000000022474,-1936574.1453851499,-1540897.5367449385,301.15364418356467,17.5
28500,57.0000000000237,-1936380.6741495915,-1543333.7528091776,299.15216141682015,17.5
29000,58.00000000002492,-1935589.0642275475,-1541692.8847242538,299.79854077061344,17.5
29500,59.00000000002614,-1939023.0382649843,-1545485.0872976645,299.5258892498934,17.5
30000,60.00000000002736,-1938409.192788059,-1544191.0731082791,300.04357283781354,17.5
30500,61.000000000028585,-1936975.3850876503,-1542926.2617560825,299.9149479330139,17.5
31000,62.00000000002981,-1939723.8526969366,-1545606.6102945395,299.9667940769878,17.5
31500,63.00000000003103,-1940480.7824640684,-1546354.8248888084,299.9734272870641,17.5
32000,64.00000000003224,-1937614.3516707718,-1541311.0997257181,301.6305890186538,17.5
32500,65.00000000002991,-1936680.3571548387,-1542925.264373066,299.69115817734365,17.5
33000,66.00000000002758,-1937555.769195594,-1543606.7287486861,299.8387737928762,17.5
33500,67.00000000002525,-1938530.6118106954,-1544759.5494684707,299.70331277840194,17.5
34000,68.00000000002292,-1937124.8641040474,-1542568.9659893066,300.3006595707511,17.5
34500,69.00000000002059,-1938615.2968331836,-1543397.4387163857,300.80448431694566,17.5
35000,70.00000000001826,-1939790.3684793413,-1545472.6544607328,300.1193751405613,17.5
35500,71.00000000001593,-1936755.2908774558,-1541854.9321949237,300.5628321455323,17.5
36000,72.0000000000136,-1937589.6916764043,-1543006.5457103427,300.32139819806,17.5
36500,73.00000000001127,-1937749.0662344247,-1544163.5289946527,299.5621076642478,17.5
37000,74.00000000000894,-1936957.2837591358,-1542711.0607232512,300.0649625988454,17.5
37500,75.00000000000661,-1939429.1845956258,-1546200.029097411,299.2908617582558,17.5
38000,76.00000000000428,-1938204.0703021064,-1545009.6465956206,299.26442702489084,17.5
38500,77.00000000000195,-1939859.2237035558,-1544550.011410337,300.8740149450894,17.5
39000,77.99999999999962,-1937048.4177695736,-1544765.4386998645,298.5707168892823,17.5
39500,78.99999999999729,-1939327.4587533846,-1546165.472789746,299.239738316349,17.5
40000,79.99999999999496,-1938207.6249429751,-1546870.1330647378,297.85109660589194,17.5
40500,80.99999999999262,-1936899.5995780025,-1543195.5664485237,299.6522961369216,17.5
41000,81.9999999999903,-1938221.8444356825,-1541987.807809492,301.57790850872755,17.5
41500,82.99999999998796,-1940054.9164963532,-1546180.3664926142,299.7820783301493,17.5
42000,83.99999999998563,-1935654.6213436648,-1543253.2946999115,298.66079247733944,17.4
42500,84.9999999999833,-1939329.3076770883,-1543550.0881430123,301.2317424181974,17.4
43000,85.99999999998097,-1936803.7935075536,-1541744.7392241277,300.68361704279806,17.4
43500,86.99999999997864,-1938960.520713769,-1544126.3061301978,300.51248917349807,17.4
44000,87.99999999997631,-1940750.1388403475,-1546704.4967818318,299.9122982993406,17.4
44500,88.99999999997398,-1940140.0974852145,-1548348.9800844658,298.1963557802173,17.4
45000,89.99999999997165,-1937590.5472769234,-1542776.8693946647,300.49685847331364,17.4
45500,90.99999999996932,-1939217.0558699984,-1545488.5991344973,299.6708852013167,17.4
46000,91.99999999996699,-1939964.4154702611,-1546025.6752468706,299.83093418401296,17.4
46500,92.99999999996466,-1938941.970065385,-1545821.9411064244,299.20780439712837,17.4
47000,93.99999999996233,-1939925.4602875598,-1545235.8828555883,300.402404310412,17.4
47500,94.99999999996,-1938683.2384401988,-1544893.3226281218,299.71766235335156,17.4
48000,95.99999999995767,-1938755.7436022423,-1545249.25595233,299.5019421868411,17.4
48500,96.99999999995534,-1938177.5141616687,-1542682.9868910098,301.0150601308781,17.4
49000,97.999999999953,-1937574.9725200739,-1540918.5770564128,301.8993702789711,17.4
49500,98.99999999995067,-1937928.5710689332,-1544408.6156636372,299.5121926376493,17.4
50000,99.99999999994834,-1940418.9504863657,-1546194.4233539475,300.04844961766327,17.4
50500,100.99999999994601,-1938984.0690867193,-1544125.081247335,300.5313443600407,17.4
51000,101.99999999994368,-1938817.5315867607,-1545489.7455631187,299.36593049244823,17.4
51500,102.99999999994135,-1938191.1648370232,-1543678.4133320386,300.2678202305463,17.4
52000,103.99999999993902,-1939143.589689104,-1547560.3553851456,298.0381337605288,17.4
52500,104.99999999993669,-1939441.9600055031,-1545744.370940958,299.6473914910675,17.4
53000,105.99999999993436,-1941359.4495568685,-1548465.3675141449,299.03583381375057,17.4
53500,106.99999999993203,-1939273.9120085053,-1544054.3842185903,300.80575512278256,17.4
54000,107.9999999999297,-1938560.3066307474,-1544807.4723869427,299.6894391802516,17.4
54500,108.99999999992737,-1940539.2246809565,-1544767.7600530316,301.2258400772535,17.4
55000,109.99999999992504,-1938521.108429851,-1546772.5926707725,298.1639312209763,17.4
55500,110.99999999992271,-1938870.7540860288,-1546449.2475698048,298.67615159132544,17.4
56000,111.99999999992038,-1938099.3216713965,-1544732.8580798856,299.39536839769073,17.4
56500,112.99999999991805,-1941738.9696232975,-1547657.8274761192,299.9393177916132,17.4
57000,113.99999999991572,-1941419.5493363887,-1546756.8967066542,300.3819115591715,17.4
57500,114.99999999991338,-1942036.9327727202,-1548309.4083887162,299.6701755787492,17.4
58000,115.99999999991105,-1940766.5141344834,-1548139.2574224053,298.8327502375934,17.4
58500,116.99999999990872,-1940582.2008084264,-1545038.593383261,301.05241555463556,17.4
59000,117.9999999999064,-1942084.4602149501,-1547559.0483747423,300.27745614534604,17.4
59500,118.99999999990406,-1942053.9882770702,-1548461.5950031895,299.56732586419037,17.4
60000,119.99999999990173,-1940366.8052127976,-1547208.5999451191,299.2368607887391,17.4
60500,120.9999999998994,-1939399.0337794144,-1543721.8786114748,301.15406015158857,17.4
61000,121.99999999989707,-1941546.1716393922,-1546441.1760560742,300.7185834511703,17.4
61500,122.99999999989474,-1943499.5590314586,-1549480.14407179,299.89233657751595,17.4
62000,123.99999999989241,-1942055.284623567,-1547541.9943946786,300.26823025899694,17.4
62500,124.99999999989008,-1940091.289680427,-1547366.2879791013,298.9071449808505,17.4
63000,125.99999999988775,-1942821.344303308,-1549177.8112699827,299.6062488750106,17.4
63500,126.99999999988542,-1940581.429607898,-1544453.7458704659,301.49696220227537,17.4
64000,127.99999999988309,-1942793.2549211495,-1548012.5966761657,300.47172687877935,17.4
64500,128.99999999988785,-1939277.2203057483,-1543134.1329683887,301.5086860448032,17.4
65000,129.99999999989262,-1938442.0135839265,-1542643.8935431312,301.24612779340316,17.4
65500,130.9999999998974,-1940200.6376113147,-1548448.3690919778,298.16678748642863,17.4
66000,131.99999999990217,-1944107.4917115644,-1549753.0551266002,300.1473250735122,17.4
66500,132.99999999990695,-1940727.031777447,-1546729.5644589749,299.8756319960896,17.4
67000,133.99999999991172,-1940581.299673587,-1545299.369826668,300.8532499871769,17.4
67500,134.9999999999165,-1941605.792425461,-1546316.161660498,300.8591112372024,17.4
68000,135.99999999992127,-1943143.2645148877,-1549481.8066714334,299.6198916372406,17.4
68500,136.99999999992605,-1943201.5039343145,-1548398.8332633167,300.48848076861435,17.4
69000,137.99999999993082,-1941103.7853017263,-1547087.0122158732,299.8903258194635,17.4
69500,138.9999999999356,-1943668.2498926818,-1549103.5701216187,300.3073433820902,17.4
70000,139.99999999994037,-1941387.3999999687,-1547736.8693857933,299.61157480767247,17.4
70500,140.99999999994515,-1941216.084067298,-1547451.5329675258,299.6983570030292,17.4
71000,141.99999999994992,-1939309.8654218968,-1544610.3932323453,300.40993531486976,17.4
71500,142.9999999999547,-1940785.497519279,-1544567.2755692306,301.5658717917528,17.4
72000,143.99999999995947,-1938586.6313911323,-1545060.4256060456,299.51694986769616,17.4
72500,144.99999999996425,-1939394.1841643415,-1544234.0657822704,300.7605379952591,17.4
73000,145.99999999996902,-1938848.3717088755,-1545298.5632197238,299.5349141349451,17.4
73500,146.9999999999738,-1938490.0148053002,-1545218.229643403,299.3233076453463,17.4
74000,147.99999999997857,-1940679.6528529562,-1546428.7043406537,300.0685592088363,17.4
74500,148.99999999998334,-1940999.9197016563,-1547318.797706253,299.63485823089286,17.4
75000,149.99999999998812,-1939058.3490075972,-1545703.9825454575,299.3861611448112,17.4
75500,150.9999999999929,-1939967.3864174467,-1546477.5669846223,299.48925583084133,17.4
76000,151.99999999999767,-1942096.9680362083,-1547936.9558659806,299.9993465988246,17.4
76500,153.00000000000244,-1941762.467630202,-1546125.8951990912,301.1231722021368,17.4
77000,154.00000000000722,-1940250.0320754368,-1546906.4135895493,299.37798074661424,17.4
77500,155.000000000012,-1940403.707730418,-1547579.3964038182,298.9827305851059,17.4
78000,156.00000000001677,-1940582.1268639378,-1547583.5075658937,299.115398222425,17.4
78500,157.00000000002154,-1940614.9615246262,-1546348.6556621895,300.08024785015846,17.4
79000,158.00000000002632,-1941435.3054751493,-1548094.9910059962,299.37546602459554,17.4
79500,159.0000000000311,-1939682.0801886227,-1548146.4205112637,298.001924209956,17.4
80000,160.00000000003587,-1938584.118821364,-1544357.7218223233,300.0498727928906,17.4
80500,161.00000000004064,-1939928.24729578,-1546752.0505516562,299.2505542914063,17.4
81000,162.00000000004542,-1942023.6744452566,-1547519.0446954719,300.2616386769184,17.4
81500,163.0000000000502,-1941076.0751319267,-1546624.532558737,300.22123346634504,17.4
82000,164.00000000005497,-1942333.7057675608,-1546310.5622738644,301.41739551908654,17.4
82500,165.00000000005974,-1942607.4337903615,-1549853.6509097596,298.9290506402543,17.4
83000,166.00000000006452,-1941059.7375356462,-1546120.5965605355,300.59234975785705,17.4
83500,167.0000000000693,-1942136.6555526052,-1546217.1728569432,301.33849819130575,17.4
84000,168.00000000007407,-1942044.7079478204,-1548606.641266039,299.4498662656438,17.4
84500,169.00000000007884,-1942554.1503342725,-1548838.1584875188,299.66139804289344,17.4
85000,170.00000000008362,-1939560.1218949463,-1546942.3638961387,298.8255206666407,17.3
85500,171.0000000000884,-1938811.3449479584,-1545777.9423911944,299.14187212786004,17.3
86000,172.00000000009317,-1942188.0293260198,-1549659.6939707554,298.7574601485623,17.3
86500,173.00000000009794,-1939027.7872570325,-1544912.6050586428,299.9652260339672,17.3
87000,174.00000000010272,-1942774.1154943667,-1550724.4437880055,298.39314419190066,17.3
87500,175.0000000001075,-1941746.186244322,-1547546.4526186015,300.0295790179586,17.3
88000,176.00000000011227,-1943772.6459921803,-1549660.0043105148,299.963292419867,17.3
88500,177.00000000011704,-1939978.0469678808,-1546024.74990287,299.8420135498537,17.3
89000,178.00000000012182,-1941078.1453108583,-1547235.0030147317,299.7581735922992,17.3
89500,179.0000000001266,-1941409.3893899303,-1546846.47288497,300.3060013416437,17.3
90000,180.00000000013137,-1939794.4326856267,-1545345.0483264239,300.2195908268945,17.3
90500,181.00000000013614,-1940802.9660104979,-1545789.259954459,300.6491020281708,17.3
91000,182.00000000014091,-1941400.918921383,-1548220.3772184737,299.2538612854098,17.3
91500,183.0000000001457,-1940262.8567681294,-1547150.200526788,299.20219294391103,17.3
92000,184.00000000015046,-1941467.212102795,-1547978.086783994,299.48872753333006,17.3
92500,185.00000000015524,-1939880.993295895,-1546432.359035882,299.4579093610029,17.3
93000,186.00000000016001,-1941637.189072596,-1547817.4872679072,299.74033278679326,17.3
93500,187.0000000001648,-1943471.5282527339,-1548932.1786520537,300.28806432198894,17.3
94000,188.00000000016956,-1941881.8212963697,-1548715.8821359416,299.2427471361612,17.3
94500,189.00000000017434,-1939954.2236409858,-1546105.4927482498,299.76242713218016,17.3
95000,190.0000000001791,-1939982.230740685,-1546525.200292843,299.46429978820214,17.3
95500,191.0000000001839,-1939579.3931608405,-1545206.5546805807,300.1613309502995,17.3
96000,192.00000000018866,-1938750.370364815,-1545235.0095210145,299.50869566838804,17.3
96500,193.00000000019344,-1939274.4623940904,-1544942.536539395,300.1301919190481,17.3
97000,194.0000000001982,-1939972.5024746135,-1545788.3326542156,300.017733241413,17.3
97500,195.000000000203,-1936343.5006511565,-1543628.0640235455,298.89986490226323,17.3
98000,196.00000000020776,-1940849.6236961652,-1548190.098313291,298.8573102636121,17.3
98500,197.00000000021254,-1937656.9232436363,-1543584.5206558781,299.93266602067075,17.3
99000,198.0000000002173,-1942415.711074436,-1548088.3312416766,300.1267318937581,17.3
99500,199.0000000002221,-1939865.1583727617,-1545631.665515189,300.0552735257337,17.3
100000,200.00000000022686,-1939686.9199171774,-1545783.2990779867,299.8042044499262,17.3
100500,201.00000000023164,-1941690.4160361215,-1548961.9673917384,298.90976848560246,17.3
101000,202.0000000002364,-1940281.291868141,-1545475.6778665045,300.4907209686377,17.3
101500,203.0000000002412,-1941217.964376865,-1546377.6874636402,300.51710327660044,17.3
102000,204.00000000024596,-1939970.635761151,-1547328.16333402,298.84433107895995,17.3
102500,205.00000000025074,-1943405.5231293365,-1547861.7658687932,301.0525295959237,17.3
103000,206.0000000002555,-1941076.4499443267,-1547427.744078563,299.6101859723914,17.3
103500,207.0000000002603,-1941638.110944001,-1548472.9479160197,299.242156413562,17.3
104000,208.00000000026506,-1939633.0982881822,-1544534.9762594227,300.7133519162283,17.3
104500,209.00000000026984,-1938616.6734988969,-1544049.0666890277,300.30957118222767,17.3
105000,210.0000000002746,-1941983.1262049545,-1547971.5509121872,299.8863697242703,17.3
105500,211.00000000027939,-1941718.7775932122,-1547254.7849260361,300.23070936431975,17.3
106000,212.00000000028416,-1942628.6701449286,-1547482.21424194,300.7501393381881,17.3
106500,213.00000000028894,-1941687.7981340233,-1547007.3376618319,300.3954652960713,17.3
107000,214.0000000002937,-1941963.2564890087,-1545646.0695825038,301.64119506493233,17.3
107500,215.00000000029848,-1942341.3461766522,-1548882.5231378896,299.46566414807705,17.3
108000,216.00000000030326,-1939390.3862277754,-1546048.4099437925,299.37673084940695,17.3
108500,217.00000000030803,-1941604.2371059228,-1547394.239137202,300.03739131778184,17.3
109000,218.0000000003128,-1941083.8915614765,-1547022.3825688944,299.9243747903733,17.3
109500,219.00000000031758,-1940960.0743019506,-1547859.7555669367,299.1928027375922,17.3
110000,220.00000000032236,-1939973.5733079258,-1544791.3943081626,300.77732856428906,17.3
110500,221.00000000032713,-1943531.2404471599,-1549781.9238228407,299.686761882924,17.3
111000,222.0000000003319,-1943874.831547005,-1551700.0144145377,298.48839369693025,17.3
111500,223.00000000033668,-1942705.1561254673,-1549232.403414447,299.4762661686945,17.3
112000,224.00000000034146,-1941508.1676686723,-1546313.5618784348,300.78678672571465,17.3
112500,225.00000000034623,-1941687.3382843118,-1547378.7972442997,300.1123934897081,17.3
113000,226.000000000351,-1942165.5902520064,-1548515.7893006913,299.6110194535661,17.3
113500,227.00000000035578,-1940601.5324256383,-1545506.9628438265,300.7106481113517,17.3
114000,228.00000000036056,-1942647.2514485307,-1550549.7348464762,298.4295594471343,17.3
114500,229.00000000036533,-1940625.3047379274,-1546968.0964263096,299.6166572736955,17.3
115000,230.0000000003701,-1943292.5227063186,-1550851.0498261072,298.6913482017507,17.3
115500,231.00000000037488,-1940339.5885419063,-1545906.6529006881,300.20707153397933,17.3
116000,232.00000000037966,-1939083.2193890829,-1545540.5071992949,299.52951306658036,17.3
116500,233.00000000038443,-1941430.2573998086,-1546920.1707155947,300.2657920073239,17.3
117000,234.0000000003892,-1940736.8787825983,-1545998.3852998088,300.4396348331197,17.3
117500,235.00000000039398,-1941556.5429504253,-1547366.8228712475,300.02195760196724,17.3
