#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-124715.34375,-70524.45133470173,298.69427964040483,0
1000,2.0000000000000013,-124204.28125,-71283.79712529015,291.69192791129063,75
1500,2.999999999999891,-125471.9140625,-71076.94686226081,299.81911756360336,78
2000,3.999999999999781,-124723.734375,-70845.28717942501,296.97211571815166,76.6
2500,4.999999999999671,-124444.8125,-69685.1428256795,301.82931776373954,77.5
3000,5.999999999999561,-124740.671875,-70133.51631039847,300.9886766503143,77.3
3500,6.999999999999451,-124565.609375,-70532.84353719279,297.8227032176781,76.2
4000,7.999999999999341,-125387.265625,-70792.45240483177,300.9206469959708,76.8
4500,8.999999999999675,-125016.921875,-70944.58051090967,298.0408391956564,76.9
5000,10.000000000000009,-124926.703125,-70655.24446896964,299.1383519589484,76.4
5500,11.000000000000343,-124617.0546875,-69994.42926240018,301.0739448315847,75.6
6000,12.000000000000677,-124714.3203125,-69966.13368906116,301.7660244415908,76.2
6500,13.00000000000101,-125062.140625,-70028.73196577583,303.3381371476073,76.4
7000,14.000000000001345,-124959.1640625,-70276.94335575613,301.4024275143245,76.8
7500,15.000000000001679,-125027.078125,-69879.2525726317,303.9687905646884,76.9
8000,16.00000000000201,-125306.640625,-71033.2699036873,299.14889105392695,77.3
8500,17.000000000001457,-125240.96875,-71104.1453293101,298.3962572481612,77.6
9000,18.000000000000902,-125229.421875,-70762.98071102015,300.2130742445333,77.6
9500,19.000000000000348,-124820.3125,-71530.09813934751,293.7298405856165,77.9
10000,19.999999999999794,-124982.6953125,-70299.70205978109,301.4066857033525,78.1
10500,20.99999999999924,-124769.90625,-70710.48621106101,297.96961826283797,78.1
11000,21.999999999998685,-125482.5625,-71067.66011207039,299.92899814060246,78.2
11500,22.99999999999813,-125314.484375,-71366.49040504417,297.35544994184,78.2
12000,23.999999999997577,-125671.75,-71948.46673982614,296.11686905501074,78.4
12500,24.999999999997023,-126373.875,-72017.59413510514,299.60588270895204,78.6
13000,25.99999999999647,-125658.90625,-70507.12184350216,303.9906113362189,78.6
13500,26.999999999995914,-125958.9609375,-71025.12889665831,302.789281703987,78.7
14000,27.99999999999536,-126449.9140625,-72430.20033533685,297.7507614095097,78.8
14500,28.999999999994806,-125546.703125,-70605.04617064074,302.8324117725688,78.8
15000,29.99999999999425,-125637.8671875,-71437.94765395974,298.744036130109,78.9
15500,30.999999999993697,-125555.0,-71270.34576340136,299.2110845576677,79
16000,31.999999999993143,-125517.0234375,-71725.78117185761,296.4914516698888,79
16500,32.999999999994365,-125457.5,-70997.7010384535,300.1764631502584,79.1
17000,33.99999999999559,-126338.4140625,-71924.16628995852,299.9253899720877,78.8
17500,34.99999999999681,-125403.7734375,-70546.93322645978,302.3649111480547,78.9
18000,35.99999999999803,-126042.171875,-71631.26124173473,299.90699602491793,79
18500,36.999999999999254,-125985.890625,-71025.2373514243,302.9371174090933,79
19000,38.000000000000476,-126282.859375,-71723.9460549705,300.72277066780623,79
19500,39.0000000000017,-126135.421875,-71208.45288940985,302.7514532931024,79.1
20000,40.00000000000292,-125614.140625,-70982.28677157639,301.12481092047034,79
20500,41.00000000000414,-126741.7265625,-72607.04528728756,298.3844499762792,79
21000,42.000000000005365,-125874.4609375,-71953.92038965982,297.20412967791714,78.7
21500,43.00000000000659,-125509.640625,-70917.93771041767,300.90350333132466,78.8
22000,44.00000000000781,-125779.75,-70798.66395146004,303.0497406327935,78.7
