#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-125432.28125,-71209.3104113799,298.84370131013077,0
1000,2.0000000000000013,-125593.90625,-70939.8356366118,301.21965840604685,81.2
1500,2.999999999999891,-125539.5859375,-71306.17471782665,298.90124227604963,81.2
2000,3.999999999999781,-124424.0625,-70219.97971580084,298.7396019587599,79
2500,4.999999999999671,-124680.3046875,-69907.3008834609,301.875145081768,79.6
3000,5.999999999999561,-125527.6875,-71403.19289610698,298.3009608069497,80
3500,6.999999999999451,-125635.7734375,-71414.37888237275,298.83501380396814,79.2
4000,7.999999999999341,-126190.28125,-71866.95355268967,299.39680665716367,79.5
4500,8.999999999999675,-125438.796875,-70603.05093778658,302.2209411717999,79
5000,10.000000000000009,-125849.375,-71024.68148422224,302.16002701532364,79.4
5500,11.000000000000343,-125559.8671875,-70925.52485165902,301.110928261027,78.6
6000,12.000000000000677,-125771.328125,-71171.60045974236,300.92015346361615,78.3
6500,13.00000000000101,-126296.6328125,-71832.49566777982,300.17286181962675,78.6
7000,14.000000000001345,-126094.484375,-71544.05730357708,300.64843888010125,78.9
7500,15.000000000001679,-125842.7890625,-70796.1060215467,303.38349689035095,78.6
8000,16.00000000000201,-125904.75,-72047.26996459067,296.82934055606233,78.9
8500,17.000000000001457,-125913.09375,-71196.78080289997,301.5626999085123,78.6
9000,18.000000000000902,-125999.015625,-71609.61061522039,299.76098420637464,78.8
9500,19.000000000000348,-126080.765625,-71691.62229211675,299.7595420040931,79
10000,19.999999999999794,-126811.609375,-72596.0382972199,298.80291837470634,78.8
10500,20.99999999999924,-126474.6796875,-72266.25694220513,298.76352115789877,78.7
11000,21.999999999998685,-126175.59375,-71814.91968611383,299.60263688456354,78.8
11500,22.99999999999813,-126312.7421875,-71334.682430838,303.00528750867204,78.6
12000,23.999999999997577,-126161.2421875,-71773.28639960242,299.75299698574565,78.7
12500,24.999999999997023,-126274.09375,-71380.86763993278,302.5377365694313,78.8
13000,25.99999999999647,-126740.9140625,-72362.20490716898,299.7020352280605,78.6
13500,26.999999999995914,-126353.9140625,-72021.08900056989,299.44915029587935,78.7
14000,27.99999999999536,-125844.65625,-71539.80774606881,299.29496069665583,78.6
14500,28.999999999994806,-126043.5546875,-71058.44936510944,303.0441183382556,78.7
15000,29.99999999999425,-126179.59375,-71639.42780908127,300.5918858330794,78.8
15500,30.999999999993697,-125872.140625,-71408.21252666914,300.1717096843644,78.8
16000,31.999999999993143,-125394.109375,-71198.94060230511,298.69047340401175,78.8
16500,32.999999999994365,-125898.328125,-71539.4636248817,299.5926636808496,78.9
17000,33.99999999999559,-126640.1171875,-72193.15195651492,300.0782207813396,78.9
17500,34.99999999999681,-126681.90625,-71624.33717785357,303.4434940060387,78.9
18000,35.99999999999803,-127300.5390625,-72317.68066570372,303.0317346648644,78.9
18500,36.999999999999254,-126085.625,-71238.66753776697,302.28273220947955,79
19000,38.000000000000476,-125762.3984375,-71572.26832299051,298.66270341578587,79
19500,39.0000000000017,-126155.15625,-71901.74623773294,299.01146333380444,79
20000,40.00000000000292,-125848.953125,-72079.68186280318,296.3431879925426,79
20500,41.00000000000414,-127137.3828125,-72704.80370830541,299.99893328913674,79.1
21000,42.000000000005365,-126269.6875,-71285.18108049268,303.040817553522,79
21500,43.00000000000659,-126008.9375,-72159.92895759316,296.7826508914177,79
22000,44.00000000000781,-126791.3359375,-72866.85275438626,297.1986207402671,79.1
22500,45.00000000000903,-126596.0625,-71638.04966381867,302.8948011995735,79
23000,46.00000000001025,-126180.265625,-71489.52926135343,301.4217374944674,79
23500,47.000000000011475,-126979.90625,-72908.325124252,298.0093342248299,78.9
24000,48.0000000000127,-126843.7265625,-72569.5989180929,299.125646193492,78.9
24500,49.00000000001392,-126600.546875,-72339.76239245338,299.05210688319795,78.8
25000,50.00000000001514,-126441.7421875,-71692.90242371173,301.7419677380062,78.8
