#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-2701959.28875109,-2159591.395614521,299.1789727570939,0
1000,2.0000000000000013,-2714553.74167921,-2171557.6701645292,299.5254861924394,13
1500,2.999999999999891,-2712877.619956579,-2168358.534008058,300.3656057857573,13
2000,3.999999999999781,-2718364.1394574232,-2174971.9543223875,299.7439889237634,13
2500,4.999999999999671,-2721537.8375284076,-2177077.8567501553,300.3330024101713,13.1
3000,5.999999999999561,-2721470.5275325943,-2177605.972817936,300.00455568551587,13.2
3500,6.999999999999451,-2727368.550111493,-2182580.969121719,300.5137120281231,13.1
4000,7.999999999999341,-2724767.2203801963,-2180336.8785960753,300.3166530577668,13.2
4500,8.999999999999675,-2722705.9273384847,-2177119.6684607333,300.9542757729772,13.2
5000,10.000000000000009,-2724726.1926118005,-2179819.4365766365,300.5794509262202,13.2
5500,11.000000000000343,-2728281.3148801196,-2183989.2595232544,300.24037200983565,13.2
6000,12.000000000000677,-2726938.8616471738,-2183754.9624536643,299.62909500247105,13.2
6500,13.00000000000101,-2729790.3100801464,-2185110.0926333494,300.4544885473347,13.2
7000,14.000000000001345,-2730627.5722822286,-2188089.7470770017,299.27271005678097,13.2
7500,15.000000000001679,-2729407.2043793015,-2185314.599025547,300.1303521362365,13.2
8000,16.00000000000201,-2730799.2390303332,-2184336.254916511,301.4378917075433,13.2
8500,17.000000000001457,-2733005.0421907976,-2188128.8985515637,300.5625646295128,13.2
9000,18.000000000000902,-2727592.568372499,-2183946.368026401,299.8841078557135,13.2
9500,19.000000000000348,-2726774.599948317,-2184166.4826508122,299.3114843209413,13.2
10000,19.999999999999794,-2729882.5023222286,-2187387.065307153,299.24932803998587,13.2
10500,20.99999999999924,-2733327.760213904,-2190062.1677756608,299.6741583282134,13.2
11000,21.999999999998685,-2731798.935124265,-2187193.753695659,300.41309745629434,13.2
11500,22.99999999999813,-2729885.7060792837,-2187257.2178845303,299.3227212399962,13.2
12000,23.999999999997577,-2731603.0001585595,-2188277.2004213855,299.7073696559385,13.2
12500,24.999999999997023,-2733014.417875141,-2189976.162677918,299.5487553995028,13.2
13000,25.99999999999647,-2730796.220512951,-2190163.417215384,298.2218689125579,13.1
13500,26.999999999995914,-2732767.011803247,-2188152.3877322422,300.4183061717967,13.1
14000,27.99999999999536,-2735126.2785397563,-2189381.3142254283,301.0418202793664,13.1
14500,28.999999999994806,-2733086.956896482,-2188838.135679223,300.2165233535285,13.1
15000,29.99999999999425,-2731672.465874687,-2188214.037594741,299.7805297225408,13.1
15500,30.999999999993697,-2733882.212904768,-2191941.3759291815,298.9434016158646,13.1
16000,31.999999999993143,-2735018.3006179743,-2190711.0337903043,300.2487629051432,13.1
16500,32.999999999994365,-2732630.711874185,-2189293.347960571,299.71374864420835,13.1
17000,33.99999999999559,-2732789.3009232134,-2190676.5284688333,299.0382440292467,13.1
17500,34.99999999999681,-2732280.576542916,-2189690.657991741,299.301445595749,13.1
18000,35.99999999999803,-2733900.1034219526,-2189146.316535367,300.49507064981674,13.1
18500,36.999999999999254,-2736546.8414237704,-2192940.5935055846,299.86206944508274,13.1
19000,38.000000000000476,-2737314.269176403,-2193773.4236061955,299.82599244360154,13.1
19500,39.0000000000017,-2734895.3147948515,-2191368.7381347152,299.8181214801621,13
20000,40.00000000000292,-2737521.209959617,-2194659.6669156724,299.45127809459495,13
20500,41.00000000000414,-2737288.356647866,-2194309.3851843895,299.51605352539116,13
21000,42.000000000005365,-2735229.339760212,-2192524.680491917,299.3647384460744,13
21500,43.00000000000659,-2731982.9855023697,-2187550.268070028,300.31796350405824,13
22000,44.00000000000781,-2734972.7095411476,-2191497.3573176223,299.7898652457514,12.9
22500,45.00000000000903,-2733998.95768898,-2190501.6194583056,299.80199308576,12.9
23000,46.00000000001025,-2737148.805633234,-2193925.8115869425,299.6506603606777,12.9
23500,47.000000000011475,-2734808.6621411815,-2190750.408097847,300.1114033933366,12.9
24000,48.0000000000127,-2736185.641185114,-2191968.994648334,300.1987752751922,12.9
24500,49.00000000001392,-2737260.823491199,-2191499.5445267498,301.0508197063713,12.9
25000,50.00000000001514,-2736270.6641868334,-2192955.1159174624,299.70171477915585,12.9
25500,51.000000000016364,-2735496.9982329495,-2190628.9020681013,300.5581255114337,12.9
26000,52.000000000017586,-2736484.675686827,-2191349.125821062,300.705657333492,12.9
26500,53.00000000001881,-2735494.110946955,-2191953.6602106057,299.82577464680776,12.9
27000,54.00000000002003,-2737331.1451036036,-2192637.3000903414,300.4620057351841,12.9
27500,55.00000000002125,-2737638.8912286647,-2191686.820086026,301.15606378258445,12.9
28000,56.000000000022474,-2735432.280125076,-2191095.238408567,300.2651872192842,12.9
28500,57.0000000000237,-2736013.78026353,-2192444.1797537734,299.84185413708445,12.9
29000,58.00000000002492,-2738181.821992915,-2195467.066292244,299.3703078027876,12.9
29500,59.00000000002614,-2738215.2653342187,-2194127.4391768267,300.1277158536018,12.9
30000,60.00000000002736,-2738189.1616538186,-2194424.5429092264,299.9494293750464,12.9
30500,61.000000000028585,-2737268.47191911,-2194538.9394863355,299.37845888913927,12.9
31000,62.00000000002981,-2738830.638423698,-2194510.0136810374,300.2561313488428,12.9
31500,63.00000000003103,-2735531.4397841636,-2192599.2876098095,299.4902272421579,12.8
32000,64.00000000003224,-2737559.4851411097,-2194308.763333892,299.66595544568514,12.8
32500,65.00000000002991,-2736514.646193832,-2192327.663696374,300.1824121074523,12.8
33000,66.00000000002758,-2737388.549976144,-2193551.3214722075,299.9894821021484,12.8
33500,67.00000000002525,-2739191.403433034,-2195500.8580645937,299.9085692930498,12.8
34000,68.00000000002292,-2734793.1286441498,-2191441.846063857,299.72142640768175,12.8
34500,69.00000000002059,-2735190.2949440815,-2191473.1966186664,299.92321633704324,12.8
35000,70.00000000001826,-2737614.4623664357,-2193070.773218795,300.3791773115281,12.9
35500,71.00000000001593,-2737862.9416891243,-2195714.0877940934,299.0581471401906,12.9
36000,72.0000000000136,-2739263.3805658463,-2196535.944481927,299.3773025089314,12.8
36500,73.00000000001127,-2735199.419452777,-2191481.015952657,299.9239362926903,12.8
37000,74.00000000000894,-2740801.8915139344,-2197944.6254236465,299.4489188572255,12.9
37500,75.00000000000661,-2737047.568227172,-2192128.522453936,300.58623014611584,12.9
38000,76.00000000000428,-2739043.0119977947,-2193348.2976715756,301.014101566637,12.9
38500,77.00000000000195,-2739577.7660115305,-2193588.755209006,301.1764403012511,12.9
39000,77.99999999999962,-2740007.9038440343,-2195523.5019084355,300.34647351873224,12.9
39500,78.99999999999729,-2736974.4715881627,-2192426.7878329656,300.38138080218545,12.9
40000,79.99999999999496,-2738889.102575522,-2194150.82668815,300.48651452975537,12.9
40500,80.99999999999262,-2737372.638219204,-2192255.4103794983,300.69555060519076,12.9
41000,81.9999999999903,-2738761.6460934523,-2194175.2217328176,300.4027507517816,12.9
41500,82.99999999998796,-2739024.2905572914,-2195151.139693587,300.00929746148364,12.9
42000,83.99999999998563,-2738341.285478268,-2194451.371317801,300.0185443692909,12.9
42500,84.9999999999833,-2739419.828446027,-2194872.0670464886,300.38142363207,12.9
43000,85.99999999998097,-2738733.0562621094,-2192918.7379912515,301.08007705255267,12.9
43500,86.99999999997864,-2741176.32616294,-2197505.834554592,299.8975073120214,12.9
44000,87.99999999997631,-2738601.3663093615,-2196390.749103468,299.092216789467,12.9
44500,88.99999999997398,-2737821.441645693,-2193897.7287688525,300.03718829230513,12.9
45000,89.99999999997165,-2736661.6081829984,-2193946.4605737953,299.37052398592346,12.9
45500,90.99999999996932,-2740023.5514309127,-2194500.0080509037,300.9196808818932,12.9
46000,91.99999999996699,-2735781.1647624504,-2191497.540383248,300.235721345096,12.9
46500,92.99999999996466,-2735533.19723789,-2190540.118275182,300.6270680604845,12.8
47000,93.99999999996233,-2736950.411188524,-2192132.6326183747,300.5303695058072,12.8
47500,94.99999999996,-2739702.815296801,-2196583.069318005,299.59370704326466,12.8
48000,95.99999999995767,-2737885.490358051,-2192738.521919066,300.7119560046514,12.8
48500,96.99999999995534,-2737489.3663733248,-2192613.329040966,300.5625059889072,12.8
49000,97.999999999953,-2737819.9969379622,-2194340.029940902,299.7924108300739,12.8
49500,98.99999999995067,-2737965.0920292716,-2193123.442432128,300.5435371534964,12.8
50000,99.99999999994834,-2739153.2202122845,-2195837.6550798467,299.70172408109846,12.8
50500,100.99999999994601,-2736443.1428531334,-2190366.3371275505,301.2248694122405,12.8
51000,101.99999999994368,-2738670.0136729237,-2195329.109850914,299.71570131539465,12.8
51500,102.99999999994135,-2738125.3417080026,-2192627.623771022,300.905435146454,12.8
52000,103.99999999993902,-2738606.510632023,-2195810.180419123,299.4153056337444,12.8
52500,104.99999999993669,-2741313.2946029343,-2197440.389973161,300.0091616348326,12.8
53000,105.99999999993436,-2740302.528085863,-2196455.913140432,299.9946598163157,12.8
53500,106.99999999993203,-2739734.405329775,-2195832.437986001,300.02519310172124,12.8
54000,107.9999999999297,-2738144.294415487,-2195550.980132228,299.3033187369313,12.8
54500,108.99999999992737,-2736982.5486598928,-2195905.3692725454,298.46699400890077,12.8
55000,109.99999999992504,-2739734.002345415,-2194280.6522978866,300.880961095247,12.8
55500,110.99999999992271,-2737143.2526893932,-2193497.106677826,299.88407788390043,12.8
56000,111.99999999992038,-2740412.48700675,-2195923.334758836,300.3490938684557,12.8
56500,112.99999999991805,-2735952.163815994,-2190550.828649991,300.85226883853363,12.8
57000,113.99999999991572,-2740092.2598194834,-2195555.906582172,300.37513070378407,12.8
57500,114.99999999991338,-2738265.4045505747,-2195035.2000237536,299.65463777929943,12.8
58000,115.99999999991105,-2736901.1130472757,-2191472.6632435466,300.86722571478754,12.8
58500,116.99999999990872,-2739586.183924228,-2195552.758971897,300.0977072619193,12.8
59000,117.9999999999064,-2737808.2954736855,-2195689.305897703,299.04167349488796,12.8
59500,118.99999999990406,-2739969.1827085894,-2196751.5516744805,299.6477020357181,12.8
60000,119.99999999990173,-2739808.1477822047,-2195774.85885798,300.09763222659785,12.8
60500,120.9999999998994,-2739215.454954192,-2195533.9514883147,299.9035816321747,12.8
61000,121.99999999989707,-2737595.6825082116,-2193505.709483761,300.12890010047454,12.8
61500,122.99999999989474,-2738150.062982565,-2193036.4431227553,300.69356038465475,12.8
62000,123.99999999989241,-2737542.47466027,-2195080.767568726,299.2307220642244,12.8
62500,124.99999999989008,-2739429.6544394325,-2195130.5076825097,300.24428374172743,12.8
63000,125.99999999988775,-2735925.9208070505,-2195376.0656228075,298.1761133808417,12.8
