#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-2179062.905201055,-1733230.431665101,300.1033043203177,0
1000,2.0000000000000013,-2184196.963297734,-1740050.744342931,298.9682354283746,16
1500,2.999999999999891,-2190166.1861778665,-1745107.9519269792,299.5821404716183,15.8
2000,3.999999999999781,-2191480.518529553,-1745946.4780816515,299.9024199945691,15.7
2500,4.999999999999671,-2191683.0795061477,-1745024.840869716,300.6591517517088,16
3000,5.999999999999561,-2195986.9500432927,-1751000.6938021085,299.53368989918914,16.1
3500,6.999999999999451,-2197458.812339021,-1753351.4369978965,298.942088618735,16.2
4000,7.999999999999341,-2201776.5290475544,-1754587.0375017533,301.0167541315154,16.3
4500,8.999999999999675,-2199734.369952172,-1754443.162682653,299.7389616474163,16.4
5000,10.000000000000009,-2203981.261036046,-1757579.4936360756,300.4865132157252,16.4
5500,11.000000000000343,-2202185.512359537,-1755615.7662824334,300.5995847371048,16.4
6000,12.000000000000677,-2202907.859498279,-1757755.3229713463,299.64561818202765,16.4
6500,13.00000000000101,-2203303.05213082,-1757369.5571902955,300.17130487908867,16.3
7000,14.000000000001345,-2203318.6781375,-1757571.3419775974,300.04599578092024,16.3
7500,15.000000000001679,-2203677.650225099,-1756483.6170660486,301.0198112285732,16.2
8000,16.00000000000201,-2204147.8888719343,-1757677.846224749,300.5324713468815,16.2
8500,17.000000000001457,-2204034.3335958775,-1760994.2147942213,298.2236860055031,16.2
9000,18.000000000000902,-2204772.56351424,-1758009.807334637,300.72950566697295,16.2
9500,19.000000000000348,-2204733.2868017647,-1758084.991362953,300.6524586850562,16.1
10000,19.999999999999794,-2203773.7803531606,-1755644.3091515529,301.6494828299527,16.1
10500,20.99999999999924,-2206499.1114173755,-1762324.9799187926,298.98702420469203,16.1
11000,21.999999999998685,-2205074.74477051,-1759329.2504025705,300.0447560151187,16
11500,22.99999999999813,-2208832.212667737,-1764578.9735268313,299.0402739481883,16
12000,23.999999999997577,-2208006.2880638335,-1763009.3138690223,299.5409044775118,16
12500,24.999999999997023,-2209456.871644102,-1763578.0902104857,300.1344755649655,15.9
13000,25.99999999999647,-2208932.807510255,-1763008.9374349588,300.1648260915839,15.9
13500,26.999999999995914,-2209987.9099700116,-1762505.9137765819,301.2136478449459,15.9
14000,27.99999999999536,-2207113.5015249997,-1759672.8297957673,301.18583109988805,15.9
14500,28.999999999994806,-2205144.023362128,-1762295.4219890498,298.0947698395376,15.9
15000,29.99999999999425,-2207623.389361877,-1761949.2059907066,299.9967544292425,15.9
15500,30.999999999993697,-2206273.458926758,-1762062.0226113847,299.0121352036666,15.9
16000,31.999999999993143,-2208168.010742506,-1761190.0416966616,300.8743719477511,15.8
16500,32.999999999994365,-2211442.3817391694,-1765309.0684449128,300.305808648505,15.8
17000,33.99999999999559,-2210057.4070279114,-1765471.519706089,299.2641894864115,15.8
17500,34.99999999999681,-2207015.898592461,-1759161.229609089,301.4645051564488,15.8
18000,35.99999999999803,-2207750.517850084,-1760986.4911493196,300.730360893143,15.8
18500,36.999999999999254,-2207505.462363282,-1760745.7995888325,300.7274234025279,15.8
19000,38.000000000000476,-2209053.810281193,-1763560.8033252778,299.87479911169527,15.8
19500,39.0000000000017,-2208277.921949936,-1763691.8186459208,299.2643348705493,15.8
20000,40.00000000000292,-2207867.2989743035,-1763637.8574312893,299.02425506624036,15.8
20500,41.00000000000414,-2210457.445769826,-1765171.2517050595,299.73558710787336,15.8
21000,42.000000000005365,-2207781.2000614908,-1763434.6694341735,299.1030712655639,15.8
21500,43.00000000000659,-2211548.4546898436,-1767432.235657474,298.94804157443605,15.8
22000,44.00000000000781,-2210480.8158789948,-1764536.9271082415,300.1783012801616,15.8
22500,45.00000000000903,-2209108.472859986,-1761664.849097589,301.18781820257743,15.8
23000,46.00000000001025,-2213621.074520627,-1767997.5410113586,299.96266047731586,15.8
23500,47.000000000011475,-2211579.0897635818,-1764177.1669880715,301.1597480087243,15.8
24000,48.0000000000127,-2210525.2087715417,-1765845.6838518397,299.3272197818707,15.8
24500,49.00000000001392,-2212025.0045065694,-1764456.6547971154,301.2717750048924,15.8
25000,50.00000000001514,-2211536.100832034,-1764953.4535316871,300.6082689401514,15.8
