#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-124784.796875,-70121.91785204923,301.268204947773,0
1000,2.0000000000000013,-124795.3125,-69832.91798623838,302.91895031434524,75.9
1500,2.999999999999891,-124470.546875,-69899.75524751871,300.7606758013524,78.1
2000,3.999999999999781,-125175.4375,-70487.31332089799,301.4073407381531,77.5
2500,4.999999999999671,-125242.9375,-70622.91300299193,301.03201713009094,78.3
3000,5.999999999999561,-125011.875,-70267.58089321607,301.7169148693962,78.8
3500,6.999999999999451,-125013.921875,-70740.1414444677,299.1237325639382,78.5
4000,7.999999999999341,-124673.359375,-69667.2183601188,303.16005415118315,78.8
4500,8.999999999999675,-125217.5625,-71281.26406784705,297.26373913382184,79.1
5000,10.000000000000009,-125137.03125,-70817.09800898819,299.37809849956005,78.9
5500,11.000000000000343,-124944.640625,-70874.51792033901,298.001296303835,78
6000,12.000000000000677,-124005.09375,-70130.27180849144,296.9249184878192,78.3
6500,13.00000000000101,-125178.515625,-70633.04812920839,300.6211047463261,78.2
7000,14.000000000001345,-124532.28125,-70397.41992331119,298.35809581380823,78.5
7500,15.000000000001679,-125022.2578125,-70427.50869936752,300.89271474306577,78.4
8000,16.00000000000201,-125981.0703125,-70678.15780902118,304.79567626343857,78.5
8500,17.000000000001457,-125841.796875,-71000.0608357517,302.2539549339683,78.4
9000,18.000000000000902,-125052.1484375,-70757.3391969935,299.2396304446637,78.3
9500,19.000000000000348,-124949.3203125,-70840.25510935416,298.2159234296727,78.5
10000,19.999999999999794,-125661.3984375,-71664.3419097967,297.59860042743964,78.4
10500,20.99999999999924,-124973.390625,-70439.6621267118,300.5564066043886,77.9
11000,21.999999999998685,-125600.6953125,-71102.61998857721,300.35990821217536,78
11500,22.99999999999813,-126108.6015625,-71368.6659494334,301.69289352983327,77.9
12000,23.999999999997577,-125537.84375,-71260.54021702625,299.143149740043,77.8
12500,24.999999999997023,-125859.7421875,-71818.8433641562,297.8402322248219,77.7
13000,25.99999999999647,-125662.75,-71769.49301502318,297.0265211211434,77.4
13500,26.999999999995914,-125609.484375,-70731.04174792767,302.4562590939607,77.5
14000,27.99999999999536,-126143.4375,-71933.31629873556,298.77288200369173,77.7
14500,28.999999999994806,-125944.46875,-71539.79292940442,299.8451475333866,77.4
15000,29.99999999999425,-125358.671875,-71096.29036347929,299.0609087257074,77.5
15500,30.999999999993697,-124849.53125,-70169.54839439178,301.3624707649882,77.4
16000,31.999999999993143,-125997.875,-71638.83329535014,299.59364032335526,77.3
16500,32.999999999994365,-126366.6328125,-71929.01806484535,300.02668666204875,77.3
