#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-2636054.125137085,-2103500.4206589074,300.9270148044919,0
1000,2.0000000000000013,-2640397.432185268,-2111250.1566909095,299.00216385213827,13.7
1500,2.999999999999891,-2644406.011158835,-2113067.27706943,300.24047857519747,13.7
2000,3.999999999999781,-2647189.7394441143,-2115342.9286838956,300.5275744953912,13.6
2500,4.999999999999671,-2647728.7318678424,-2116194.6720360923,300.3508501528695,13.6
3000,5.999999999999561,-2649813.0967672933,-2117857.2965901475,300.5891605093564,13.6
3500,6.999999999999451,-2654359.0967672933,-2124538.005032471,299.3829132640089,13.6
4000,7.999999999999341,-2652280.7980697975,-2121055.084396421,300.1766147880875,13.6
4500,8.999999999999675,-2653853.5340663437,-2121569.371858163,300.77470612652814,13.6
5000,10.000000000000009,-2652856.064022308,-2120009.5895807967,301.09244861961633,13.6
5500,11.000000000000343,-2655763.693215467,-2125101.933251948,299.85794475543497,13.5
6000,12.000000000000677,-2658441.6332040597,-2127761.792803277,299.86816136263593,13.3
6500,13.00000000000101,-2658416.553861052,-2128742.2733210064,299.29995551869126,13.3
7000,14.000000000001345,-2659563.8232881203,-2127742.5641910774,300.51313616615204,13.2
7500,15.000000000001679,-2659097.1400138903,-2128661.337702718,299.7302641830885,13.2
8000,16.00000000000201,-2661106.5285495725,-2130022.630221798,300.09648001811644,13.1
8500,17.000000000001457,-2662473.02096051,-2131590.946576418,299.98243653972605,13.1
9000,18.000000000000902,-2663504.210558515,-2131117.244189683,300.8327970738151,13.1
9500,19.000000000000348,-2661448.0421947557,-2130124.908709284,300.23166323294885,12.9
10000,19.999999999999794,-2663531.3205948826,-2130833.0424422976,301.0087082072283,12.9
10500,20.99999999999924,-2663783.3084740993,-2131877.137408333,300.5611168769315,12.9
11000,21.999999999998685,-2663114.941099193,-2130399.003032239,301.01868719201065,12.9
11500,22.99999999999813,-2663731.818048522,-2133495.8411869393,299.61734998209556,12.9
12000,23.999999999997577,-2664107.5109663103,-2133814.582416078,299.6495313405374,12.9
12500,24.999999999997023,-2665533.6611463036,-2134896.5007196916,299.8440444386317,12.9
13000,25.99999999999647,-2666957.934980061,-2136850.6366903237,299.54463833222985,12.9
13500,26.999999999995914,-2664715.7020735797,-2132832.4839024898,300.5481470186469,12.9
14000,27.99999999999536,-2667862.597607862,-2135975.6513334396,300.55025363624685,12.9
14500,28.999999999994806,-2664248.5232086945,-2132337.194932553,300.5640310317106,13
15000,29.99999999999425,-2664447.362311648,-2131376.109204296,301.2194629889362,13
15500,30.999999999993697,-2666891.034698339,-2138647.939806795,298.4912437940088,13
16000,31.999999999993143,-2665237.099971829,-2133808.822437131,300.2910763674216,13
16500,32.999999999994365,-2663862.1027810946,-2132826.997052137,300.0689090689656,13
17000,33.99999999999559,-2666187.4231856745,-2133984.5049440973,300.728798072307,13
17500,34.99999999999681,-2665270.1121283527,-2135457.3414896065,299.3782113107954,13
18000,35.99999999999803,-2665608.541957611,-2132582.055579137,301.1941669146236,13
18500,36.999999999999254,-2665151.746184744,-2133436.75105949,300.45309020357075,13
19000,38.000000000000476,-2663930.824282823,-2133911.1182657816,299.4951430777221,13
19500,39.0000000000017,-2666650.7787143253,-2135696.463491656,300.02325724891904,13
20000,40.00000000000292,-2668074.157750398,-2136166.0047454676,300.56223679973226,13
20500,41.00000000000414,-2665624.0702574328,-2135720.7804564955,299.4293604456749,13
21000,42.000000000005365,-2667601.6959733926,-2136366.204702145,300.1821397582728,13
21500,43.00000000000659,-2667435.5555897113,-2137064.6116134375,299.69361506217905,13
22000,44.00000000000781,-2667398.0978109855,-2136969.247333182,299.7263359511647,13
22500,45.00000000000903,-2665446.4989665654,-2134312.568917591,300.12475115092366,13
23000,46.00000000001025,-2668590.819249641,-2138788.3958266694,299.37236446994484,13
23500,47.000000000011475,-2666834.452714581,-2135773.84332827,300.0833202718345,12.9
24000,48.0000000000127,-2668691.323125763,-2136128.426776011,300.93220880173584,12.9
24500,49.00000000001392,-2667038.5993166286,-2135361.3068946255,300.43178575700705,12.9
25000,50.00000000001514,-2670967.9324767124,-2139376.13536382,300.3834754214781,12.9
25500,51.000000000016364,-2668283.442073373,-2138167.1490350114,299.5497209423585,12.9
26000,52.000000000017586,-2665358.124568157,-2132852.178336747,300.9000283306183,12.9
26500,53.00000000001881,-2666559.541867513,-2135887.836294623,299.86356466289845,12.9
27000,54.00000000002003,-2670262.7221212424,-2138826.132086456,300.29577346335043,12.9
27500,55.00000000002125,-2667105.863969246,-2137073.462876696,299.5023166099749,12.9
28000,56.000000000022474,-2669191.287078269,-2137873.286881415,300.22876259549776,12.9
28500,57.0000000000237,-2667394.780574739,-2135735.375968531,300.42167799329553,12.9
29000,58.00000000002492,-2668716.526356293,-2137550.4859023574,300.14289559011894,12.9
29500,59.00000000002614,-2669522.3742452953,-2140147.4960392015,299.1307739885959,12.9
30000,60.00000000002736,-2667042.791445017,-2136305.213347371,299.90078686615334,12.9
30500,61.000000000028585,-2668267.688327521,-2137052.8123047817,300.17049082007003,12.9
31000,62.00000000002981,-2667795.146769272,-2135433.3368746643,300.8185820516912,12.9
31500,63.00000000003103,-2667385.577157978,-2136225.238402326,300.1396737647343,12.9
32000,64.00000000003224,-2669497.2485471684,-2139418.9460251764,299.52825386291505,12.9
32500,65.00000000002991,-2668812.5500141196,-2137328.6646551453,300.32249835626226,12.9
33000,66.00000000002758,-2667994.256486874,-2137691.5649580266,299.6550480499053,12.9
33500,67.00000000002525,-2670897.5572503284,-2139687.6722283866,300.1676705843676,12.9
34000,68.00000000002292,-2672499.625260502,-2141964.394507226,299.7864476327901,12.9
34500,69.00000000002059,-2669743.274856804,-2138644.9409927707,300.1046370223716,12.9
35000,70.00000000001826,-2671615.8280507065,-2142676.889262154,298.88444024525097,13
35500,71.00000000001593,-2668862.601867778,-2137655.611431269,300.16603495786467,13
36000,72.0000000000136,-2666370.2689202316,-2135499.2492281087,299.9761899294295,13
36500,73.00000000001127,-2669216.315040456,-2138551.2406879086,299.8598175979066,13
37000,74.00000000000894,-2668748.300000595,-2135511.8001007386,301.3128380299059,13
37500,75.00000000000661,-2667038.07603305,-2136988.0019355197,299.51230299179275,13
38000,76.00000000000428,-2668464.1167225745,-2138238.7451387607,299.6113573196592,13
38500,77.00000000000195,-2669306.793888448,-2139209.8596316203,299.53878198861867,13
39000,77.99999999999962,-2668653.97206052,-2138961.724392685,299.31010809876904,13
39500,78.99999999999729,-2669038.964938931,-2138115.657525304,300.00573584716716,13
40000,79.99999999999496,-2669293.2696813066,-2138310.1254894976,300.0395474663187,13
40500,80.99999999999262,-2668481.4039294403,-2137223.785339497,300.19464311315477,13
41000,81.9999999999903,-2672195.440113852,-2139792.3291676193,300.8419197959771,13
41500,82.99999999998796,-2672610.0154779945,-2141619.6878641406,300.0436065607048,13
42000,83.99999999998563,-2669968.2278333325,-2136726.0827999245,301.31602789258756,13
42500,84.9999999999833,-2669467.018968504,-2136990.1756071467,300.8835833416275,13
43000,85.99999999998097,-2666351.1695923284,-2135616.8446806306,299.8989486073493,13
43500,86.99999999997864,-2667216.337999247,-2135814.595423555,300.2760824129444,13
44000,87.99999999997631,-2669111.4453623723,-2139983.4207354845,298.9912858767687,13
44500,88.99999999997398,-2668603.2974097133,-2139318.7586997505,299.0797263765692,13
45000,89.99999999997165,-2666241.2090519555,-2135684.747855575,299.79844419541433,13
45500,90.99999999996932,-2673216.6927901395,-2142583.680373788,299.8417005466739,13
46000,91.99999999996699,-2665706.0715336986,-2133379.3670423077,300.7987452463045,13
46500,92.99999999996466,-2670559.0354973637,-2137439.709890208,301.24662703593896,13
47000,93.99999999996233,-2666134.21881824,-2134590.192613145,300.3564817933104,13
47500,94.99999999996,-2669332.895854518,-2138871.4071274307,299.74477865627193,13
48000,95.99999999995767,-2669283.1622675844,-2137463.9669303647,300.5119700094289,13
48500,96.99999999995534,-2669392.6466304865,-2140285.7531370437,298.97934543047444,13
49000,97.999999999953,-2669490.700933067,-2135922.416069017,301.500317823948,13
49500,98.99999999995067,-2669243.4541403074,-2139099.7442004764,299.565213250918,13
50000,99.99999999994834,-2666166.3102888595,-2136042.9708006475,299.55370263866575,13
50500,100.99999999994601,-2673326.2018995155,-2141175.707946292,300.69917498553644,13
51000,101.99999999994368,-2670394.693838792,-2139702.1061622566,299.8753643913763,13
51500,102.99999999994135,-2669604.4529187493,-2139478.201608166,299.5553480051451,13
52000,103.99999999993902,-2668640.0377760287,-2137976.1341498466,299.8591560623894,13
52500,104.99999999993669,-2669897.669359155,-2139042.9305911814,299.96699016260555,13
53000,105.99999999993436,-2670207.454145182,-2140127.7466934356,299.52904773837474,13
53500,106.99999999993203,-2668890.1986883357,-2137012.304935597,300.5451383806325,13
54000,107.9999999999297,-2668335.5501605533,-2135573.189847999,301.04491873949894,13
54500,108.99999999992737,-2668232.5787379593,-2137363.6537616304,299.97500628059663,13
55000,109.99999999992504,-2669813.7112824954,-2137523.7972647925,300.777956267978,13
55500,110.99999999992271,-2669924.905023452,-2137802.661488179,300.6832116866818,13
56000,111.99999999992038,-2669024.622328,-2139975.065768825,298.9469463835388,13
56500,112.99999999991805,-2668430.9251617305,-2136811.7194992676,300.39896301067904,13
57000,113.99999999991572,-2670378.083263034,-2138472.116234944,300.56100158255197,13
57500,114.99999999991338,-2668627.860166654,-2137489.70227818,300.127140151524,13
58000,115.99999999991105,-2669113.3514771517,-2136462.7423701794,300.9817721377311,13
58500,116.99999999990872,-2671863.9244963843,-2143205.337150272,298.7260236912766,13
59000,117.9999999999064,-2668160.5109465886,-2135838.437722547,300.7961282830828,13
59500,118.99999999990406,-2667545.450911913,-2136962.933812504,299.813167452525,12.9
60000,119.99999999990173,-2668186.6543491874,-2137581.8152705655,299.82578080308963,12.9
60500,120.9999999998994,-2667744.1416748427,-2136071.535554814,300.42913769569077,12.9
61000,121.99999999989707,-2670139.4211736396,-2139367.799534419,299.9200236515768,12.9
61500,122.99999999989474,-2670555.7636119425,-2139601.6670543915,300.0231336890962,12.9
62000,123.99999999989241,-2668858.8795462325,-2138527.6092088097,299.67119691053466,13
62500,124.99999999989008,-2666735.8528502956,-2136194.3602849734,299.7899859583908,12.9
63000,125.99999999988775,-2665092.0886898823,-2134883.3101097853,299.6019812078547,13
63500,126.99999999988542,-2669764.547315005,-2139829.675888675,299.4472060904845,13
64000,127.99999999988309,-2671128.923044812,-2139820.569998484,300.2233113364327,13
64500,128.99999999988785,-2671121.347267989,-2140052.6757247495,300.08787590781463,13
65000,129.99999999989262,-2669969.253893096,-2141304.4061666755,298.72956120785375,12.9
65500,130.9999999998974,-2668719.4767641705,-2137580.87565319,300.1273906006799,12.9
66000,131.99999999990217,-2666398.0758801512,-2136795.2887328495,299.259557164355,12.9
66500,132.99999999990695,-2668810.7620233893,-2139750.0162205943,298.9532690241517,12.9
67000,133.99999999991172,-2668814.356988525,-2136098.569493146,301.01860210940913,12.9
67500,134.9999999999165,-2665969.787345279,-2133494.2708910806,300.8828335539407,12.9
68000,135.99999999992127,-2665371.1654108763,-2133999.7528671827,300.25894399871225,12.9
68500,136.99999999992605,-2668148.327000117,-2138446.0915220445,299.31575185242957,13
69000,137.99999999993082,-2670466.487385677,-2139780.138301461,299.8718391864112,13
69500,138.9999999999356,-2669653.3169669546,-2138639.3405988733,300.05696962428635,13
70000,139.99999999994037,-2670353.2658069953,-2139741.542669251,299.82967073821544,13
70500,140.99999999994515,-2669347.2547895126,-2137747.5668431185,300.3879342487288,13
71000,141.99999999994992,-2667953.860074671,-2134711.014120788,301.31642395763106,13
71500,142.9999999999547,-2671120.88782076,-2140834.310742581,299.6459423512798,13
72000,143.99999999995947,-2668564.8448831737,-2139087.8837731224,299.18845737957076,13
72500,144.99999999996425,-2672188.521390725,-2142101.0287830047,299.53344685104145,13
73000,145.99999999996902,-2669668.0923904255,-2136095.0673501324,301.5029963276825,13
73500,146.9999999999738,-2670948.667609619,-2138730.2489047907,300.7375568286444,13
74000,147.99999999997857,-2673005.6524007637,-2141540.123792853,300.3121256140344,13
