#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-125364.6484375,-71267.09512473282,298.15247696267494,0
1000,2.0000000000000013,-125765.6875,-71147.60757785314,301.0212998281798,80
1500,2.999999999999891,-125847.4921875,-72186.54292435141,295.7461836855445,80.1
2000,3.999999999999781,-125769.4453125,-70614.11429368635,303.98229779228393,78.9
2500,4.999999999999671,-125949.921875,-71358.06087673595,300.8767972283347,79.3
3000,5.999999999999561,-126158.328125,-71428.92626031634,301.63483798055705,79.5
3500,6.999999999999451,-126160.578125,-71523.61697811447,301.125361538538,79
4000,7.999999999999341,-125554.296875,-71551.84300125018,297.6283472827825,79.2
4500,8.999999999999675,-126819.1328125,-72171.83142360859,301.182350599552,78.9
5000,10.000000000000009,-125651.78125,-71198.35723938479,300.1138176064631,79.1
5500,11.000000000000343,-125653.0,-71135.54118661117,300.4667380971254,78.1
6000,12.000000000000677,-125289.84375,-71186.41961707536,298.1848333164204,77.9
6500,13.00000000000101,-126460.234375,-72919.53925804002,295.0834167144788,78.1
7000,14.000000000001345,-126287.65625,-72088.99200617918,298.70973829328176,77.9
7500,15.000000000001679,-126855.203125,-72596.81100432714,299.0389216543886,77.8
8000,16.00000000000201,-126440.828125,-71355.56171476422,303.59614471667,78
8500,17.000000000001457,-126328.0234375,-72648.10530004767,295.85072846645454,77.9
9000,18.000000000000902,-126967.203125,-72442.78308377031,300.50510410808806,78.1
9500,19.000000000000348,-126901.75,-72038.23811340355,302.3739700257281,78.2
10000,19.999999999999794,-126292.984375,-71807.64336581272,300.2897244931657,77.7
10500,20.99999999999924,-126888.625,-72351.48391359777,300.57521469341935,77.8
11000,21.999999999998685,-127361.421875,-73663.29005346389,295.95111110285217,77.9
11500,22.99999999999813,-127052.78125,-72466.73096871795,300.8447721263657,77.5
12000,23.999999999997577,-126868.375,-71569.91453659628,304.7711393538255,77.4
12500,24.999999999997023,-126252.59375,-71599.57259243517,301.2138744503216,77.3
13000,25.99999999999647,-126658.671875,-72058.87546497342,300.92053234254655,77.1
13500,26.999999999995914,-126132.875,-72159.77430100739,297.4665706177643,77.2
14000,27.99999999999536,-126581.921875,-72686.97623032052,297.03582797593185,77.1
14500,28.999999999994806,-126805.171875,-72168.89545989037,301.12158771768037,77.2
15000,29.99999999999425,-125872.7734375,-71692.50208050152,298.6083680014892,77.3
15500,30.999999999993697,-126173.3828125,-71855.31687271071,299.3678070824693,77.2
16000,31.999999999993143,-127225.8359375,-72683.86566421937,300.6018302044978,77.3
16500,32.999999999994365,-126630.8359375,-71654.11465009692,302.99791068845656,77.4
17000,33.99999999999559,-126499.484375,-72148.41908778762,299.54967921105634,77.4
17500,34.99999999999681,-126671.53125,-71987.14022797893,301.38676586993046,77.4
18000,35.99999999999803,-126945.484375,-72226.37535998062,301.57811011701267,77.3
18500,36.999999999999254,-126787.875,-72442.90002105245,299.516113173714,77.3
19000,38.000000000000476,-126617.65625,-72073.62288987846,300.6132006716287,77.1
19500,39.0000000000017,-128093.640625,-73913.5468863973,298.6073890780184,76.6
20000,40.00000000000292,-127380.1328125,-73295.44844073034,298.08155126642185,76.4
20500,41.00000000000414,-126439.0234375,-71639.14593179908,302.0232564144433,76.2
21000,42.000000000005365,-127149.671875,-72183.91638707911,302.9374739389683,75.9
21500,43.00000000000659,-127180.0234375,-72834.60928755766,299.5185336144159,75.6
22000,44.00000000000781,-126710.0625,-72524.02281845734,298.6401594623864,75.4
22500,45.00000000000903,-127193.375,-72239.11632378562,302.8741105763472,75.1
23000,46.00000000001025,-127243.0859375,-72494.88010250987,301.7384739119492,74.9
23500,47.000000000011475,-126409.828125,-71720.79576536664,301.4123460712665,74.5
24000,48.0000000000127,-127799.2421875,-73317.3961810153,300.27046218555745,74.5
24500,49.00000000001392,-126544.90625,-72156.14691494242,299.7574256440017,74.4
25000,50.00000000001514,-126671.1953125,-72625.47391407285,297.86681129574816,74.2
25500,51.000000000016364,-126722.578125,-72650.94251845541,298.00963448950836,74.1
26000,52.000000000017586,-127185.140625,-73039.96828004112,298.41492381154507,74
26500,53.00000000001881,-126666.8046875,-73105.7888493851,295.19541204467384,73.9
27000,54.00000000002003,-126756.59375,-71837.28645859653,302.6814800169872,73.8
27500,55.00000000002125,-126700.046875,-72467.55174491776,298.8961933530581,73.7
28000,56.000000000022474,-126830.0078125,-72370.21355217654,300.1489265090488,73.5
28500,57.0000000000237,-126862.421875,-72933.36975760409,297.2238018989312,73.5
29000,58.00000000002492,-127206.5,-72585.13885781565,301.0393838970836,73.3
29500,59.00000000002614,-127461.25,-73388.12061303249,298.01786728943847,73.3
30000,60.00000000002736,-127495.7578125,-72712.21396082384,301.93323534866283,73.3
30500,61.000000000028585,-127232.3125,-72799.3925276656,300.00081194489803,73.2
31000,62.00000000002981,-127456.15625,-73184.38526313019,299.11265774504903,73.1
31500,63.00000000003103,-126545.4375,-72117.0131591484,299.9760347862277,73
32000,64.00000000003224,-126970.296875,-72631.73938659485,299.4807439086747,72.9
32500,65.00000000002991,-127060.0703125,-73286.0085753412,296.3695901473218,72.9
33000,66.00000000002758,-126342.0,-71271.8770663375,303.51268317777107,72.8
33500,67.00000000002525,-126657.9296875,-72543.76912534283,298.2440059180148,72.7
34000,68.00000000002292,-127529.125,-73411.29110616658,298.26425106536277,72.7
34500,69.00000000002059,-127941.6796875,-73634.87343460927,299.305750606103,72.6
35000,70.00000000001826,-127309.140625,-72452.16950808559,302.33792132181225,72.5
35500,71.00000000001593,-127421.1015625,-72890.09455087641,300.54140744194245,72.5
36000,72.0000000000136,-127476.0625,-73237.5726234729,298.9292327123608,72.5
36500,73.00000000001127,-127999.265625,-73598.28431053739,299.8247856854425,72.4
37000,74.00000000000894,-127759.21875,-73794.08747704962,297.4226480377407,72.3
37500,75.00000000000661,-127495.8828125,-73263.59228616033,298.89506570293514,72.3
38000,76.00000000000428,-127628.5,-73254.14396694,299.6780434926095,72.2
38500,77.00000000000195,-127315.921875,-72889.82962261129,299.9631817474278,72.1
39000,77.99999999999962,-127572.046875,-73498.54316670832,298.0199303185987,72.1
39500,78.99999999999729,-127596.1875,-72811.72675401997,301.9382887067368,72.1
40000,79.99999999999496,-126790.390625,-72239.75720087637,300.64957616940694,72
40500,80.99999999999262,-127331.7109375,-73003.13432585809,299.42573544808846,71.9
41000,81.9999999999903,-128069.4609375,-73562.10567209512,300.4110535481383,71.9
41500,82.99999999998796,-127920.5,-73543.26613560854,299.693904330803,71.8
42000,83.99999999998563,-127543.5,-72915.01594616004,301.0786410098966,71.8
42500,84.9999999999833,-127793.953125,-73465.9002951989,299.4228486843873,71.7
43000,85.99999999998097,-127554.59375,-73436.81573785981,298.2639430798027,71.7
