#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-1810328.8662754744,-1433061.4455362437,300.48732087719026,0
1000,2.0000000000000013,-1816342.627504224,-1439268.5871474443,300.33329657019056,18.4
1500,2.999999999999891,-1822816.3509124927,-1446842.9122623536,299.45668533900266,18.9
2000,3.999999999999781,-1824900.2816051226,-1447380.1282421025,300.6886182722103,18.7
2500,4.999999999999671,-1828137.8928654082,-1450354.3306123768,300.8984191383959,18.8
3000,5.999999999999561,-1828215.010013761,-1451077.7043630797,300.3836863404807,18.8
3500,6.999999999999451,-1829547.3192271404,-1452546.9234026568,300.2746399065339,18.8
4000,7.999999999999341,-1834008.668828478,-1457431.3626497276,299.9376559340295,18.8
4500,8.999999999999675,-1833138.5951212086,-1456446.1938982247,300.0293272514737,18.7
5000,10.000000000000009,-1834612.4649305865,-1458173.3009970358,299.8276278985349,18.7
5500,11.000000000000343,-1833943.347879324,-1459669.4502956443,298.1030287185066,18.8
6000,12.000000000000677,-1836652.7324510366,-1460126.7437954238,299.896782367445,18.8
6500,13.00000000000101,-1836570.7003163584,-1460833.3859864224,299.2686161857406,18.6
7000,14.000000000001345,-1833581.985366676,-1456313.4889900102,300.48817760478806,18.5
7500,15.000000000001679,-1836927.1840099245,-1460163.2017325014,300.0863403888177,18.5
8000,16.00000000000201,-1839081.1218675673,-1460773.1614344963,301.3160936990145,18.5
8500,17.000000000001457,-1837889.237928884,-1460687.7094086804,300.4348388040674,18.5
9000,18.000000000000902,-1837173.9239810128,-1460913.4552509114,299.68530009606286,18.5
9500,19.000000000000348,-1837848.4256481323,-1462094.7331659459,299.2816611157297,18.5
10000,19.999999999999794,-1837542.9838095885,-1459347.8225918089,301.22625097171635,18.5
10500,20.99999999999924,-1838059.8330906294,-1462202.0094360856,299.36459988881563,18.4
11000,21.999999999998685,-1841225.3792123627,-1464381.878078266,300.1496758556178,18.4
11500,22.99999999999813,-1841042.4978329223,-1463625.6428618457,300.6063427950827,18.3
12000,23.999999999997577,-1840539.4248967003,-1461930.7483122747,301.5556091877573,18.3
12500,24.999999999997023,-1842151.4814828597,-1466674.1340136165,299.06155683952585,18.3
13000,25.99999999999647,-1841725.5300434344,-1465992.4407541594,299.26525101006143,18.3
13500,26.999999999995914,-1842688.7428210322,-1466279.9387020688,299.80344680351806,18.3
14000,27.99999999999536,-1841649.3986623045,-1465684.3060878313,299.4500378264457,18.3
14500,28.999999999994806,-1841978.3811029606,-1465351.2851398808,299.97731268167763,18.2
15000,29.99999999999425,-1840646.5850305036,-1464939.515833592,299.24452643270996,18.2
15500,30.999999999993697,-1843177.2842409015,-1465963.4761971626,300.44461924342113,18.2
16000,31.999999999993143,-1840689.7513548993,-1463013.0275526892,300.8133240623592,18.2
16500,32.999999999994365,-1840284.3728737086,-1463043.2367570302,300.46638560587644,18.2
17000,33.99999999999559,-1843008.6187549215,-1467349.8941597727,299.20602074930366,18.2
17500,34.99999999999681,-1842702.4562811032,-1467123.549471425,299.142447190613,18.2
18000,35.99999999999803,-1845151.4587961435,-1469595.4130442943,299.1242387325225,18.1
18500,36.999999999999254,-1843042.664865302,-1465832.95886843,300.4413520302845,18.1
19000,38.000000000000476,-1847276.2678801995,-1469577.9670206127,300.83050983512175,18.1
19500,39.0000000000017,-1845376.3169394955,-1468718.3704339117,300.00188463344193,18.1
20000,40.00000000000292,-1844665.0111606624,-1467986.7526626955,300.0180628026593,18.1
20500,41.00000000000414,-1844170.7776893973,-1467223.8674322662,300.23203952824565,18.1
21000,42.000000000005365,-1844852.37069883,-1469058.0116747348,299.31405135023107,18.1
