#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-125493.234375,-71340.18211910222,298.4583530393162,0
1000,2.0000000000000013,-126355.734375,-72011.86848339997,299.5100005656647,80.2
1500,2.999999999999891,-125981.1328125,-71171.01252968283,302.07970830886694,78.4
2000,3.999999999999781,-125895.640625,-71322.44718483137,300.7739131172397,79
2500,4.999999999999671,-126389.9765625,-71752.65642006288,301.12734010145584,79.3
3000,5.999999999999561,-126240.4375,-71556.53680780844,301.38406347316305,78.8
3500,6.999999999999451,-126231.53125,-72119.93426535724,298.2298770537871,79.1
4000,7.999999999999341,-126362.390625,-71676.12209397648,301.3971135460327,78.8
4500,8.999999999999675,-126005.1953125,-72065.98316474922,297.27979774404463,79
5000,10.000000000000009,-126079.4296875,-71259.17797818175,302.1355465071122,79.2
5500,11.000000000000343,-126557.7890625,-72149.49925117334,299.86506562990314,77.9
6000,12.000000000000677,-126229.296875,-71920.11918526608,299.31882050899986,78.1
6500,13.00000000000101,-126783.1328125,-72455.92370988266,299.41819857852636,78.4
7000,14.000000000001345,-126737.3046875,-72247.49362743588,300.31436066725246,78.2
7500,15.000000000001679,-126408.921875,-72122.2947339972,299.1945357391845,78.4
8000,16.00000000000201,-125993.953125,-71616.12457637256,299.69718186494475,78.3
8500,17.000000000001457,-126753.1015625,-72645.01146123325,298.21054926720626,78.5
9000,18.000000000000902,-125548.5,-71291.8379430245,299.02938660621953,78.6
9500,19.000000000000348,-126646.4765625,-71985.61574010807,301.25708186625116,78.5
10000,19.999999999999794,-126690.96875,-72084.73641819647,300.95600318922686,78.6
10500,20.99999999999924,-126448.390625,-71429.90663747326,303.22808103302884,78.7
11000,21.999999999998685,-126346.9375,-72268.54534096026,298.04687245571563,78.6
11500,22.99999999999813,-126990.4375,-72867.03673250484,298.2949322527649,78.7
12000,23.999999999997577,-126689.96875,-72415.4542853767,299.12777810886587,78.8
12500,24.999999999997023,-127123.421875,-72217.54510323144,302.60745924431205,78.6
13000,25.99999999999647,-126829.4921875,-72324.42057757097,300.39846744220637,78.7
13500,26.999999999995914,-126368.6484375,-71733.9360154653,301.1129679487503,78.4
14000,27.99999999999536,-126022.4765625,-71441.87676660134,300.81473239964623,78.5
14500,28.999999999994806,-126397.0390625,-72516.3658151649,296.95716729056187,78.6
15000,29.99999999999425,-127357.6875,-72816.61940710444,300.5968579405042,78.5
15500,30.999999999993697,-126855.703125,-72040.36697455263,302.10845496667724,78.5
16000,31.999999999993143,-126604.5,-71825.63659050618,301.9074396269621,78.6
16500,32.999999999994365,-126904.484375,-72060.2392816199,302.26778329880955,78.4
17000,33.99999999999559,-127431.328125,-72915.05608445196,300.4601973343661,78.3
17500,34.99999999999681,-126961.0390625,-72947.60749315761,297.68884959632226,78.1
18000,35.99999999999803,-127248.6953125,-72938.39627066237,299.32500071285006,78.1
18500,36.999999999999254,-127066.6015625,-71979.74199824827,303.6049252027909,78
