#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-1821231.2803915571,-1443219.5486423299,299.6908936726126,0
1000,2.0000000000000013,-1827342.678599691,-1449698.8629239644,299.3992067020688,17.7
1500,2.999999999999891,-1834076.5283237286,-1456054.9966576048,299.6986631294995,17.9
2000,3.999999999999781,-1837066.5463505369,-1459900.7839270183,299.0202020460114,18.2
2500,4.999999999999671,-1838564.2240829393,-1458893.1956224376,301.0063981199711,18.1
3000,5.999999999999561,-1839844.6328473482,-1462053.656881678,299.5158766228733,18.1
3500,6.999999999999451,-1840382.253013976,-1458838.0435503293,302.4914718404225,18.1
4000,7.999999999999341,-1843081.4846593197,-1463885.3509145165,300.6298975783359,18.2
4500,8.999999999999675,-1842342.6573379338,-1463599.7383656572,300.2705850787593,18.2
5000,10.000000000000009,-1844189.5413538683,-1465500.289694698,300.2280371796467,18.3
5500,11.000000000000343,-1845626.3271405064,-1466970.8235572127,300.2012814200506,18.3
6000,12.000000000000677,-1845350.803544674,-1467517.6901042596,299.5492835687496,18.2
6500,13.00000000000101,-1845302.5035763197,-1468671.1811251154,298.59649352200313,18.2
7000,14.000000000001345,-1844925.2757237107,-1467511.4724990807,299.2168508881209,18.2
7500,15.000000000001679,-1846041.7859088928,-1466642.3261535112,300.79109615684337,18.2
8000,16.00000000000201,-1843600.9540819898,-1466755.5852116405,298.7661913309684,18.2
8500,17.000000000001457,-1844702.7506207544,-1466763.894486671,299.63311726940844,18.1
9000,18.000000000000902,-1847204.3358575627,-1468736.7240075986,300.052319266906,18.1
9500,19.000000000000348,-1847912.4632173385,-1471244.8775613266,298.62524329705894,18.1
10000,19.999999999999794,-1847068.5124018732,-1468891.4924795122,299.8219355323209,18.1
10500,20.99999999999924,-1848438.1021052543,-1468709.079693204,301.05237621458434,18.1
11000,21.999999999998685,-1848928.4458783884,-1471486.1757569434,299.2394196843515,18.2
11500,22.99999999999813,-1849002.6331610307,-1471738.6110580666,299.0981031497911,18.1
12000,23.999999999997577,-1848186.5410774965,-1470527.669653745,299.4111430262661,18.1
12500,24.999999999997023,-1850137.8383168895,-1470586.179492051,300.9117608646042,18.1
13000,25.99999999999647,-1849988.7594535667,-1471091.268131844,300.3931313429406,18.1
13500,26.999999999995914,-1850560.8343214449,-1472121.0997729623,300.0302179068358,18.1
14000,27.99999999999536,-1851257.2429706529,-1471856.570542303,300.7920575742152,18.2
14500,28.999999999994806,-1851455.3703955412,-1473264.7018994726,299.83275623683403,18.2
15000,29.99999999999425,-1851032.4069854654,-1472120.9593847576,300.4041959987967,18.2
15500,30.999999999993697,-1852959.5253346544,-1472518.7374176935,301.61666991855196,18.2
16000,31.999999999993143,-1851173.4773178361,-1471456.182307754,301.0430786312526,18.2
16500,32.999999999994365,-1849623.1218292136,-1470611.237019256,300.4838234665972,18.2
17000,33.99999999999559,-1853015.1623394303,-1474683.0437771315,299.94489904404924,18.2
17500,34.99999999999681,-1852065.75997724,-1472509.7378451095,300.91522013147846,18.2
18000,35.99999999999803,-1852711.1800593212,-1475311.2569662288,299.2058466026043,18.2
18500,36.999999999999254,-1853209.7828961667,-1473453.6868956503,301.0738403841876,18.2
19000,38.000000000000476,-1853079.7368926276,-1474282.9956589956,300.3132558221525,18.1
19500,39.0000000000017,-1853935.392046338,-1474227.39726033,301.0357053350555,18.2
20000,40.00000000000292,-1853563.3672694433,-1476658.301109404,298.8135198464465,18.1
20500,41.00000000000414,-1852023.0239609573,-1472746.0286002518,300.6940053503922,18.1
21000,42.000000000005365,-1852891.2034874111,-1474684.6183752073,299.8453750645401,18.1
21500,43.00000000000659,-1854125.7375544906,-1475241.6732117955,300.38248632056127,18.1
22000,44.00000000000781,-1854892.3371100929,-1475077.75905314,301.12020545247844,18.1
22500,45.00000000000903,-1854873.0524658654,-1476340.2644924582,300.1039914480587,18.1
23000,46.00000000001025,-1854143.413537968,-1477447.0586387177,298.64805179608743,18.1
23500,47.000000000011475,-1856723.535568172,-1478144.0169865845,300.1410398689177,18.1
24000,48.0000000000127,-1854849.1491044834,-1476613.4090534055,299.8684893463263,18.1
24500,49.00000000001392,-1856685.6600834746,-1476380.8496801243,301.5088657972757,18.1
25000,50.00000000001514,-1852255.5988598745,-1474669.106005375,299.35376068524306,18
25500,51.000000000016364,-1853837.6391500104,-1476934.549797237,298.8119526169497,18
26000,52.000000000017586,-1853438.9433140848,-1475438.0121291042,299.6823308940546,18
26500,53.00000000001881,-1854488.7745573223,-1475797.9375523769,300.2292940551672,18
27000,54.00000000002003,-1856568.4684324376,-1478453.2378086955,299.7729484544945,18
27500,55.00000000002125,-1853620.4494744148,-1475637.7528719143,299.6678743630526,18
28000,56.000000000022474,-1852942.9180514477,-1473257.270142149,301.01798854245556,18
28500,57.0000000000237,-1855487.6035161912,-1475502.1943298515,301.2556418147207,18
29000,58.00000000002492,-1855396.5335340817,-1476261.067218694,300.5817999278894,18
29500,59.00000000002614,-1854753.7525203545,-1475312.6235775955,300.82413184054013,18
30000,60.00000000002736,-1852709.3598191142,-1474658.2909409502,299.72208048068075,18
30500,61.000000000028585,-1855019.6284491438,-1478079.3994495564,298.84139724263076,18
31000,62.00000000002981,-1855628.9697224107,-1478724.1123196075,298.8133543419466,18
31500,63.00000000003103,-1855586.2228811681,-1477543.693001159,299.7153106908219,18
32000,64.00000000003224,-1853993.3675796948,-1475414.1639162248,300.1407901991742,18
32500,65.00000000002991,-1854297.7366517205,-1475562.6579821305,300.264369220569,18
33000,66.00000000002758,-1853246.327577185,-1475708.5239499277,299.31515945464923,18
33500,67.00000000002525,-1857527.2835977897,-1478802.4367910137,300.2562573133103,18
34000,68.00000000002292,-1856234.5437017623,-1477210.5613137835,300.4934145286303,18
34500,69.00000000002059,-1857176.8312008902,-1477114.3216826415,301.3167676090588,18
35000,70.00000000001826,-1853359.0649720617,-1475960.6037374982,299.2046876288155,18
35500,71.00000000001593,-1855197.4868674278,-1478337.2601684951,298.7779707429606,18
36000,72.0000000000136,-1852993.9076886326,-1476268.5717178606,298.6710282343682,18
36500,73.00000000001127,-1855392.1212696005,-1475990.5429791121,300.79277574936947,18
37000,74.00000000000894,-1854780.9873899706,-1477085.6237148896,299.4400743913388,18
37500,75.00000000000661,-1852914.2834984288,-1475444.979400237,299.2608524494491,18
38000,76.00000000000428,-1855515.8675306719,-1476387.253316852,300.57636752389254,18
38500,77.00000000000195,-1854818.9490039404,-1476048.6118038092,300.2923224813808,18
39000,77.99999999999962,-1855414.0672766976,-1477841.9587069768,299.34235670277866,18
39500,78.99999999999729,-1853555.349359179,-1476792.152078856,298.7010450003622,17.9
40000,79.99999999999496,-1856027.4411294013,-1478488.9318710133,299.31571888496967,17.9
40500,80.99999999999262,-1857692.4672241341,-1479708.354276906,299.6689972531152,17.9
41000,81.9999999999903,-1857632.7595092691,-1479969.9896532428,299.41423373630016,17.9
41500,82.99999999998796,-1855950.9102255255,-1477667.1363681033,299.90657095369653,17.9
42000,83.99999999998563,-1857133.2869113758,-1479824.9366912702,299.1332468554627,17.9
42500,84.9999999999833,-1853596.2289576288,-1475388.8032653707,299.84604148350684,17.9
43000,85.99999999998097,-1856047.4194025006,-1477658.623745169,299.9898331236939,17.9
43500,86.99999999997864,-1855546.380213419,-1477464.0295014745,299.7468809827128,17.9
44000,87.99999999997631,-1856606.7787112538,-1476537.373539603,301.3222345413175,17.9
44500,88.99999999997398,-1854719.1342548728,-1478198.4824289703,298.5087529155238,17.9
45000,89.99999999997165,-1855366.081427507,-1476776.424670938,300.14907749967153,17.9
45500,90.99999999996932,-1856646.777138276,-1477277.181639463,300.76741952199797,17.9
46000,91.99999999996699,-1855990.8250114378,-1476756.0455453866,300.6605362325487,17.9
46500,92.99999999996466,-1855050.465933416,-1476241.493578118,300.3229527587151,17.9
47000,93.99999999996233,-1855896.9114652164,-1476186.4713354083,301.03764402427413,17.9
47500,94.99999999996,-1854632.91609307,-1477105.8937526904,299.3066119593522,17.9
48000,95.99999999995767,-1855363.5733085442,-1477955.4298979403,299.2123637397575,17.9
48500,96.99999999995534,-1854110.4126304667,-1474482.7168807741,300.97204358084736,17.9
49000,97.999999999953,-1855708.1917338967,-1477316.341063283,299.99225516402726,17.9
49500,98.99999999995067,-1855574.493474001,-1477794.5685156526,299.50711529093013,17.9
50000,99.99999999994834,-1855974.9765720665,-1477779.913741502,299.8362401023376,17.9
