#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-125210.609375,-71152.41033819714,297.96288823243555,0
1000,2.0000000000000013,-126433.015625,-71974.63497032505,300.16864559770625,73.8
1500,2.999999999999891,-125530.71875,-71183.34481828148,299.5567886662018,77
2000,3.999999999999781,-125257.65625,-70682.19423133298,300.81398528705694,78.2
2500,4.999999999999671,-125676.265625,-71212.36014435068,300.19909783499196,77.1
3000,5.999999999999561,-125206.5390625,-70386.98830359336,302.1593757610774,77.8
3500,6.999999999999451,-125622.40625,-71356.46051230154,299.1079653552874,78.3
4000,7.999999999999341,-126177.625,-71640.27883742913,300.6038948517073,77.7
4500,8.999999999999675,-125911.359375,-72063.77255071269,296.8020167225387,78.1
5000,10.000000000000009,-125230.0625,-70387.88445176161,302.2840949082611,78.4
5500,11.000000000000343,-126053.8203125,-71531.09831482288,300.52328805223243,77
6000,12.000000000000677,-125156.7578125,-71136.1620498005,297.75562309304,77.3
6500,13.00000000000101,-125568.0,-71724.66887176642,296.77855979074667,77.1
7000,14.000000000001345,-125730.5703125,-71537.77815538389,298.70475080979315,77.4
7500,15.000000000001679,-125796.0078125,-70785.63018170116,303.2111926346409,77.6
8000,16.00000000000201,-125982.171875,-72049.49328562524,297.2710332369992,77.4
8500,17.000000000001457,-125047.875,-70662.8205282758,299.764479686811,77.6
9000,18.000000000000902,-125326.25,-70742.01572272682,300.86233701828706,77.8
9500,19.000000000000348,-125270.4375,-71260.42603273585,297.6972836127389,77.7
10000,19.999999999999794,-126685.1953125,-71770.25030917523,302.6851784162533,77.8
10500,20.99999999999924,-125748.515625,-71598.80609369883,298.4672840822812,77.6
11000,21.999999999998685,-126230.2265625,-72142.98980000941,298.12294100459184,77.7
11500,22.99999999999813,-125423.984375,-70650.63951431867,301.90469389719925,77.9
12000,23.999999999997577,-126871.65625,-72527.54444159404,299.53880819882954,77.7
12500,24.999999999997023,-125798.6328125,-71045.18665037048,301.7950144443464,77.8
13000,25.99999999999647,-125774.7578125,-70992.01366462326,301.95650174152206,77.9
13500,26.999999999995914,-126168.359375,-71641.0718998675,300.5484524652726,77.7
14000,27.99999999999536,-126186.9140625,-72703.90034711594,294.79252956913325,77.8
14500,28.999999999994806,-126226.8125,-72559.79792607971,295.8067222026943,77.9
15000,29.99999999999425,-126123.234375,-71808.82333958219,299.37510078237904,77.8
15500,30.999999999993697,-125790.4921875,-71313.505932817,300.2711976326329,77.8
16000,31.999999999993143,-126368.7421875,-72140.78596217127,298.898571312757,77.7
16500,32.999999999994365,-126570.0546875,-72083.94952788064,300.32146004057046,77.8
17000,33.99999999999559,-126004.078125,-71950.30507326662,297.9384926861896,77.8
17500,34.99999999999681,-126282.078125,-71872.9516647947,299.8971618578993,77.7
18000,35.99999999999803,-125972.3046875,-70981.13277761854,303.10533279881406,77.6
18500,36.999999999999254,-125873.28125,-72477.80272575511,294.3100451571748,77.6
19000,38.000000000000476,-126394.9921875,-71316.4875940701,303.5867010110526,77.3
19500,39.0000000000017,-126340.390625,-71923.59143887018,299.9394530850919,77.1
20000,40.00000000000292,-126343.2890625,-72049.2729177156,299.26268637297227,76.8
20500,41.00000000000414,-126741.21875,-72001.11792776315,301.7214563885897,76.6
21000,42.000000000005365,-127301.8828125,-73410.16560443986,297.04525857746637,76.3
21500,43.00000000000659,-126696.578125,-72742.48402569117,297.38907318850744,76.1
22000,44.00000000000781,-126319.5,-71780.93584261951,300.61060830605453,75.9
22500,45.00000000000903,-127133.4296875,-72781.1967113259,299.58357118848016,75.7
23000,46.00000000001025,-126334.65625,-71743.68845499342,300.89945143252135,75.5
23500,47.000000000011475,-126602.7890625,-72118.01421132323,300.3141275257465,75.4
24000,48.0000000000127,-125915.625,-70977.10314329271,302.8151314567626,75.2
24500,49.00000000001392,-126363.3828125,-72206.44707381236,298.5071141480659,75
25000,50.00000000001514,-127116.234375,-72405.3768411621,301.56027057722304,74.8
25500,51.000000000016364,-126028.6875,-71556.53225454921,300.2445696374434,74.6
26000,52.000000000017586,-127175.109375,-72288.47451160406,302.52913601732473,74.5
26500,53.00000000001881,-126754.4375,-72012.78984275658,301.7299823741827,74.3
27000,54.00000000002003,-126172.96875,-71331.66967476718,302.27925010506596,74.2
27500,55.00000000002125,-127669.4375,-72899.47039413871,301.88607608158844,74
28000,56.000000000022474,-126259.9140625,-71946.72963391244,299.3683398595148,73.9
28500,57.0000000000237,-126681.125,-71571.65817395033,303.75736145520153,73.8
29000,58.00000000002492,-125847.46875,-71665.69942321209,298.6439941730644,73.8
29500,59.00000000002614,-127024.359375,-72419.20547155617,300.97764371265754,73.7
30000,60.00000000002736,-126788.0625,-72618.32586264657,298.5776713032504,73.7
30500,61.000000000028585,-127408.890625,-72989.7595184478,299.9523063757408,73.6
